model,dataset,term,metric,window_idx,n_windows,prediction_bias_mean,prediction_bias_abs_mean,prediction_bias_std
sundial,Australia_Solar_H,long,seasonal_strength,11,1,0.10527047170876169,0.10527047170876169,0.0
sundial,Australia_Solar_H,long,seasonal_strength,12,1,0.11639836976111562,0.11639836976111562,0.0
sundial,Australia_Solar_H,long,seasonal_strength,13,1,0.07218625145216928,0.07218625145216928,0.0
sundial,Australia_Solar_H,long,seasonal_strength,14,1,0.07458591657915148,0.07458591657915148,0.0
sundial,Australia_Solar_H,long,seasonal_strength,15,1,0.22270601466796447,0.22270601466796447,0.0
sundial,Australia_Solar_H,long,seasonal_strength,16,1,0.1721720071104207,0.1721720071104207,0.0
sundial,Australia_Solar_H,long,seasonal_strength,17,1,0.08950944176550779,0.08950944176550779,0.0
sundial,Australia_Solar_H,long,seasonal_strength,18,1,0.13748065653018948,0.13748065653018948,0.0
sundial,Australia_Solar_H,long,seasonal_strength,19,1,0.15908347790318822,0.15908347790318822,0.0
sundial,Australia_Solar_H,long,seasonal_strength,2,1,0.1674321037091855,0.1674321037091855,0.0
sundial,Australia_Solar_H,long,seasonal_strength,3,1,0.1144299600884916,0.1144299600884916,0.0
sundial,Australia_Solar_H,long,seasonal_strength,4,1,0.134077140406077,0.134077140406077,0.0
sundial,Australia_Solar_H,long,seasonal_strength,5,1,0.09175042201682404,0.09175042201682404,0.0
sundial,Australia_Solar_H,long,seasonal_strength,6,1,0.15526983484890422,0.15526983484890422,0.0
sundial,Australia_Solar_H,long,seasonal_strength,7,1,0.1471339237531759,0.1471339237531759,0.0
sundial,Australia_Solar_H,long,seasonal_strength,8,1,0.1611614846419025,0.1611614846419025,0.0
sundial,Australia_Solar_H,long,seasonal_strength,9,1,0.18676848579038163,0.18676848579038163,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,0,1,0.0016919564131360199,0.0016919564131360199,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,1,1,0.00250220166946602,0.00250220166946602,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,10,1,0.0045564342154224,0.0045564342154224,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,11,1,0.005864134114028197,0.005864134114028197,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,12,1,0.010248482287062322,0.010248482287062322,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,13,1,0.0019342532711279503,0.0019342532711279503,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,14,1,0.007231632819769684,0.007231632819769684,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,15,1,0.5490881787059763,0.5490881787059763,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,16,1,0.26621367276530794,0.26621367276530794,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,17,1,0.004101544012305558,0.004101544012305558,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,18,1,0.0026191325848725633,0.0026191325848725633,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,19,1,0.017578828334933183,0.017578828334933183,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,2,1,0.05246133794902841,0.05246133794902841,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,3,1,0.022840890055192076,0.022840890055192076,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,4,1,0.008113430901426355,0.008113430901426355,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,5,1,0.01428906958036602,0.01428906958036602,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,6,1,0.0030730906019343918,0.0030730906019343918,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,7,1,0.0015075264500091778,0.0015075264500091778,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,8,1,0.00016457697057314924,0.00016457697057314924,0.0
sundial,Australia_Solar_H,long,seasonal_correlation,9,1,0.005264373824273472,0.005264373824273472,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,0,1,-0.19963565920732873,0.19963565920732873,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,1,1,-0.08261183333322375,0.08261183333322375,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,10,1,-0.16203092433317456,0.16203092433317456,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,11,1,-0.276982005580659,0.276982005580659,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,12,1,-0.19485671013171824,0.19485671013171824,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,13,1,-0.17302668065043714,0.17302668065043714,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,14,1,-0.26008756201596994,0.26008756201596994,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,15,1,-0.09075313148671638,0.09075313148671638,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,16,1,-0.18755251009525498,0.18755251009525498,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,17,1,-0.2592094435416553,0.2592094435416553,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,18,1,-0.23701304892672725,0.23701304892672725,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,19,1,-0.2617532528449048,0.2617532528449048,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,2,1,-0.19793254139448357,0.19793254139448357,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,3,1,-0.2586126382193067,0.2586126382193067,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,4,1,-0.07253124235535768,0.07253124235535768,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,5,1,-0.12456455465612482,0.12456455465612482,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,6,1,-0.301843585947143,0.301843585947143,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,7,1,-0.2189245412411378,0.2189245412411378,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,8,1,-0.18467677109122294,0.18467677109122294,0.0
sundial,Australia_Solar_H,long,residual_autocorr_lag1,9,1,-0.20898414035172408,0.20898414035172408,0.0
sundial,Australia_Solar_H,long,spectral_entropy,0,1,-1231.3402990446084,1231.3402990446084,0.0
sundial,Australia_Solar_H,long,spectral_entropy,1,1,-1075.8904966646915,1075.8904966646915,0.0
sundial,Australia_Solar_H,long,spectral_entropy,10,1,-1056.0091658321799,1056.0091658321799,0.0
sundial,Australia_Solar_H,long,spectral_entropy,11,1,-1342.6420059530683,1342.6420059530683,0.0
sundial,Australia_Solar_H,long,spectral_entropy,12,1,-1393.0664562147977,1393.0664562147977,0.0
sundial,Australia_Solar_H,long,spectral_entropy,13,1,-1114.403720567887,1114.403720567887,0.0
sundial,Australia_Solar_H,long,spectral_entropy,14,1,-845.4228621397106,845.4228621397106,0.0
sundial,Australia_Solar_H,long,spectral_entropy,15,1,-1068.5227625553016,1068.5227625553016,0.0
sundial,Australia_Solar_H,long,spectral_entropy,16,1,-1282.8548408871266,1282.8548408871266,0.0
sundial,Australia_Solar_H,long,spectral_entropy,17,1,-332.00852495734944,332.00852495734944,0.0
sundial,Australia_Solar_H,long,spectral_entropy,18,1,-825.1991040490666,825.1991040490666,0.0
sundial,Australia_Solar_H,long,spectral_entropy,19,1,-713.5485434052753,713.5485434052753,0.0
sundial,Australia_Solar_H,long,spectral_entropy,2,1,-1456.8216475983918,1456.8216475983918,0.0
sundial,Australia_Solar_H,long,spectral_entropy,3,1,-1086.5741863878957,1086.5741863878957,0.0
sundial,Australia_Solar_H,long,spectral_entropy,4,1,-1091.952510448973,1091.952510448973,0.0
sundial,Australia_Solar_H,long,spectral_entropy,5,1,-917.2506039631717,917.2506039631717,0.0
sundial,Australia_Solar_H,long,spectral_entropy,6,1,-770.7890350424495,770.7890350424495,0.0
sundial,Australia_Solar_H,long,spectral_entropy,7,1,-663.1436947182629,663.1436947182629,0.0
sundial,Australia_Solar_H,long,spectral_entropy,8,1,-426.7031705328718,426.7031705328718,0.0
sundial,Australia_Solar_H,long,spectral_entropy,9,1,-817.8029089689262,817.8029089689262,0.0
sundial,azure2019_U_5T,long,trend_strength,0,1,-0.10816997421999575,0.10816997421999575,0.0
sundial,azure2019_U_5T,long,trend_strength,1,1,0.6266537844527007,0.6266537844527007,0.0
sundial,azure2019_U_5T,long,trend_linearity,0,1,0.0032437701880868993,0.0032437701880868993,0.0
sundial,azure2019_U_5T,long,trend_linearity,1,1,-0.06614779306800911,0.06614779306800911,0.0
sundial,azure2019_U_5T,long,seasonal_strength,0,1,-0.10430130680261351,0.10430130680261351,0.0
sundial,azure2019_U_5T,long,seasonal_strength,1,1,0.19901598525654873,0.19901598525654873,0.0
sundial,azure2019_U_5T,long,seasonal_correlation,0,1,0.3220202916738941,0.3220202916738941,0.0
sundial,azure2019_U_5T,long,seasonal_correlation,1,1,0.4111620480553354,0.4111620480553354,0.0
sundial,azure2019_U_5T,long,residual_autocorr_lag1,0,1,0.20649812965682587,0.20649812965682587,0.0
sundial,azure2019_U_5T,long,residual_autocorr_lag1,1,1,0.3621065883533762,0.3621065883533762,0.0
sundial,azure2019_U_5T,long,spectral_entropy,0,1,-783.1311075972626,783.1311075972626,0.0
sundial,azure2019_U_5T,long,spectral_entropy,1,1,-2047.397094984327,2047.397094984327,0.0
sundial,Coastal_T_S_15T,long,trend_strength,0,1,0.24852688952527546,0.24852688952527546,0.0
sundial,Coastal_T_S_15T,long,trend_strength,1,1,0.12798069601916456,0.12798069601916456,0.0
sundial,Coastal_T_S_15T,long,trend_strength,10,1,0.8625439472564088,0.8625439472564088,0.0
sundial,Coastal_T_S_15T,long,trend_strength,11,1,0.5901712886444992,0.5901712886444992,0.0
sundial,Coastal_T_S_15T,long,trend_strength,12,1,0.32026814037685747,0.32026814037685747,0.0
sundial,Coastal_T_S_15T,long,trend_strength,13,1,0.642439851041917,0.642439851041917,0.0
sundial,Coastal_T_S_15T,long,trend_strength,14,1,0.7962702870111612,0.7962702870111612,0.0
sundial,Coastal_T_S_15T,long,trend_strength,15,1,0.32913133373199543,0.32913133373199543,0.0
sundial,Coastal_T_S_15T,long,trend_strength,16,1,0.8327862768156352,0.8327862768156352,0.0
sundial,Coastal_T_S_15T,long,trend_strength,17,1,0.4601848018990311,0.4601848018990311,0.0
sundial,Coastal_T_S_15T,long,trend_strength,18,1,0.8711796069587231,0.8711796069587231,0.0
sundial,Coastal_T_S_15T,long,trend_strength,19,1,0.8073819226405556,0.8073819226405556,0.0
sundial,Coastal_T_S_15T,long,trend_strength,2,1,0.4802214254480877,0.4802214254480877,0.0
sundial,Coastal_T_S_15T,long,trend_strength,3,1,0.260832568163614,0.260832568163614,0.0
sundial,Coastal_T_S_15T,long,trend_strength,4,1,0.659641698642339,0.659641698642339,0.0
sundial,Coastal_T_S_15T,long,trend_strength,5,1,0.11514852253615371,0.11514852253615371,0.0
sundial,Coastal_T_S_15T,long,trend_strength,6,1,0.17242833998289742,0.17242833998289742,0.0
sundial,Coastal_T_S_15T,long,trend_strength,7,1,0.4167750405657227,0.4167750405657227,0.0
sundial,Coastal_T_S_15T,long,trend_strength,8,1,0.9337336664095053,0.9337336664095053,0.0
sundial,Coastal_T_S_15T,long,trend_strength,9,1,0.693828491754735,0.693828491754735,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,0,1,4.440717988658659e-05,4.440717988658659e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,1,1,-6.999414072253875e-05,6.999414072253875e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,10,1,-2.8566032085192973e-05,2.8566032085192973e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,11,1,0.00010015498506965568,0.00010015498506965568,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,12,1,-0.00011736720491104598,0.00011736720491104598,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,13,1,1.7697635856302673e-05,1.7697635856302673e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,14,1,-9.472601610803155e-05,9.472601610803155e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,15,1,0.00014061530187224955,0.00014061530187224955,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,16,1,-4.1927075246221e-05,4.1927075246221e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,17,1,-8.96513984165284e-05,8.96513984165284e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,18,1,-6.5314989746454e-05,6.5314989746454e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,19,1,5.33404223686067e-06,5.33404223686067e-06,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,2,1,-0.00012110172326288457,0.00012110172326288457,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,3,1,-2.03826090588019e-06,2.03826090588019e-06,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,4,1,1.7870350312306415e-05,1.7870350312306415e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,5,1,0.00019714300499883757,0.00019714300499883757,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,6,1,0.00011291622830810601,0.00011291622830810601,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,7,1,-0.00011995953649347831,0.00011995953649347831,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,8,1,-1.3996155457126582e-05,1.3996155457126582e-05,0.0
sundial,Coastal_T_S_15T,long,trend_linearity,9,1,-7.258044766290546e-05,7.258044766290546e-05,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,0,1,0.09917454047583041,0.09917454047583041,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,1,1,0.09192222123159322,0.09192222123159322,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,10,1,-0.046039403768491804,0.046039403768491804,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,11,1,0.1741087066922696,0.1741087066922696,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,12,1,0.1602080874591031,0.1602080874591031,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,13,1,0.06814128933075314,0.06814128933075314,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,14,1,-0.2513929388601353,0.2513929388601353,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,15,1,-0.20977016345375638,0.20977016345375638,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,16,1,0.33502871188178596,0.33502871188178596,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,17,1,-0.24581833332160377,0.24581833332160377,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,18,1,-0.1501969227163698,0.1501969227163698,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,19,1,0.09361405744039897,0.09361405744039897,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,2,1,0.19115293157592161,0.19115293157592161,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,3,1,0.14347693960522728,0.14347693960522728,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,4,1,0.0022231755345474002,0.0022231755345474002,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,5,1,0.030846627883338,0.030846627883338,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,6,1,-0.04131062380989181,0.04131062380989181,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,7,1,0.1190499392230136,0.1190499392230136,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,8,1,0.018509866893203608,0.018509866893203608,0.0
sundial,Coastal_T_S_15T,long,seasonal_strength,9,1,0.043616637281875204,0.043616637281875204,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,0,1,0.26301539352936815,0.26301539352936815,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,1,1,-0.03383046550745761,0.03383046550745761,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,10,1,-0.10752303037649097,0.10752303037649097,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,11,1,0.20881735849995925,0.20881735849995925,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,12,1,-0.11333600419343642,0.11333600419343642,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,13,1,0.08945225427771375,0.08945225427771375,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,14,1,0.4192115972798802,0.4192115972798802,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,15,1,0.2828795421746761,0.2828795421746761,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,16,1,0.3716406033525615,0.3716406033525615,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,17,1,0.12032546312317483,0.12032546312317483,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,18,1,0.16743766825892414,0.16743766825892414,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,19,1,0.4091936787441139,0.4091936787441139,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,2,1,0.11814132217102569,0.11814132217102569,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,3,1,0.24887794817392433,0.24887794817392433,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,4,1,0.12442790753004712,0.12442790753004712,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,5,1,-0.04057770318684362,0.04057770318684362,0.0
