model,dataset,missing_ratio,imputation_method_norm,relative_smape_gain,score_full,score_decile
sundial,Finland_Traffic_15T,0.1,mean,0.0088545723295603,0.3769165577998477,2
sundial,Finland_Traffic_15T,0.1,forward,0.0651253257868466,0.5036157683446738,5
sundial,Finland_Traffic_15T,0.1,linear,0.0004831719923499,0.4713959509160823,4
sundial,Finland_Traffic_15T,0.1,gp_rbf,0.0033443094741242,0.3639717531121256,1
sundial,Finland_Traffic_15T,0.1,saits,-0.0322381871065903,0.5499621927535886,6
sundial,Finland_Traffic_15T,0.2,mean,0.2066468416424814,0.240540476397062,1
sundial,Finland_Traffic_15T,0.2,forward,0.2891068175039885,0.4515995346774382,3
sundial,Finland_Traffic_15T,0.2,linear,0.1015129766714068,0.3395765178382251,1
sundial,Finland_Traffic_15T,0.2,gp_rbf,0.2121613291121834,0.2548975853339432,1
sundial,Finland_Traffic_15T,0.2,saits,-0.0173562400770402,0.4376222088231588,3
sundial,Finland_Traffic_15T,0.3,mean,0.3532609489407338,0.3119125637832047,1
sundial,Finland_Traffic_15T,0.3,forward,0.4667345487004352,0.7918614788891226,9
sundial,Finland_Traffic_15T,0.3,linear,0.2211690516498862,0.4730582762903407,4
sundial,Finland_Traffic_15T,0.3,gp_rbf,0.4032489037078334,0.3888095086107349,2
sundial,Finland_Traffic_15T,0.3,saits,-0.0247410849855106,0.3253017435003222,1
sundial,NE_China_Wind_H,0.1,mean,-0.0123502105111402,0.4619916528554333,3
sundial,NE_China_Wind_H,0.1,forward,-0.0471884581531383,0.4107687553281854,2
sundial,NE_China_Wind_H,0.1,linear,-0.0329038448047691,0.5050088670392988,5
sundial,NE_China_Wind_H,0.1,gp_rbf,-0.0874928514827048,0.418915193018571,2
sundial,NE_China_Wind_H,0.1,saits,-0.0615485810247412,0.4442258946615682,3
sundial,NE_China_Wind_H,0.2,mean,0.121872747893373,0.5242940884948434,5
sundial,NE_China_Wind_H,0.2,forward,-0.0066543595872887,0.5069810505589437,5
sundial,NE_China_Wind_H,0.2,linear,0.0391466077729102,0.494662835443095,4
sundial,NE_China_Wind_H,0.2,gp_rbf,0.0350910384173254,0.5634749015994974,6
sundial,NE_China_Wind_H,0.2,saits,-0.0168805049378872,0.4970362823973696,4
sundial,NE_China_Wind_H,0.3,mean,0.2554899186234327,0.769541004340176,9
sundial,NE_China_Wind_H,0.3,forward,0.1082487680815638,0.665760526429979,8
sundial,NE_China_Wind_H,0.3,linear,0.0533717175576881,0.7691020758975244,9
sundial,NE_China_Wind_H,0.3,gp_rbf,0.0291376903888206,0.7483505772878014,9
sundial,NE_China_Wind_H,0.3,saits,-0.064358484800487,0.424314155884496,2
sundial,OpenElectricity_NEM_5T,0.1,mean,0.093428650586129,0.5392243027910687,6
sundial,OpenElectricity_NEM_5T,0.1,forward,0.0683117469039097,0.5202940077249086,5
sundial,OpenElectricity_NEM_5T,0.1,linear,0.0230948302537285,0.6021892573471236,7
sundial,OpenElectricity_NEM_5T,0.1,gp_rbf,0.0361080324260149,0.4478818349261821,3
sundial,OpenElectricity_NEM_5T,0.1,saits,0.0607428793539223,0.4401296978917192,3
sundial,OpenElectricity_NEM_5T,0.2,mean,0.2583712699007426,0.8204159634892658,9
sundial,OpenElectricity_NEM_5T,0.2,forward,0.1613999820178055,0.6505090906630984,8
sundial,OpenElectricity_NEM_5T,0.2,linear,0.0749357638834649,0.4687818643457982,4
sundial,OpenElectricity_NEM_5T,0.2,gp_rbf,0.1979738116212719,0.7087393328692851,8
sundial,OpenElectricity_NEM_5T,0.2,saits,0.1676780773626869,0.3495542801043625,1
sundial,OpenElectricity_NEM_5T,0.3,mean,0.4150101129562469,1.1957636636009734,10
sundial,OpenElectricity_NEM_5T,0.3,forward,0.1713154068449056,0.7432637985693215,9
sundial,OpenElectricity_NEM_5T,0.3,linear,0.0607362857675521,0.4446253505467047,3
sundial,OpenElectricity_NEM_5T,0.3,gp_rbf,0.3160505653508383,1.007978326165305,10
sundial,OpenElectricity_NEM_5T,0.3,saits,0.2513998468665456,0.3463883709528508,1
sundial,Port_Activity_D,0.1,mean,-0.0016313188995038,0.6134497619394212,7
sundial,Port_Activity_D,0.1,forward,0.0026021302429353,0.4825960043636985,4
sundial,Port_Activity_D,0.1,linear,0.0023543724528732,0.5642648609814055,6
sundial,Port_Activity_D,0.1,gp_rbf,0.0014587762639045,0.6112668502011914,7
sundial,Port_Activity_D,0.1,saits,4.421645421008302e-05,0.6297160824277757,7
sundial,Port_Activity_D,0.2,mean,-0.0025788104070187,0.4685139290331858,3
sundial,Port_Activity_D,0.2,forward,0.000342115692911,0.7374844276986959,8
sundial,Port_Activity_D,0.2,linear,0.0052695695922821,0.7604859343412484,9
sundial,Port_Activity_D,0.2,gp_rbf,0.0061773832405141,0.4704768551885566,4
sundial,Port_Activity_D,0.2,saits,0.0100004230978219,0.4382422559998389,3
sundial,Port_Activity_D,0.3,mean,-0.0023112375393497,0.4749553753226394,4
sundial,Port_Activity_D,0.3,forward,0.0212389583444767,0.39732861612975,2
sundial,Port_Activity_D,0.3,linear,0.0180463478824424,0.4345095193353379,3
sundial,Port_Activity_D,0.3,gp_rbf,-0.0012511353596343,0.4629171886845084,3
sundial,Port_Activity_D,0.3,saits,0.0172032448036327,0.4015077680209741,2
sundial,Supply_Chain_Customer_D,0.1,mean,0.0619270685503691,0.4615768992495584,3
sundial,Supply_Chain_Customer_D,0.1,forward,0.02319729864958,0.7508206910933222,9
sundial,Supply_Chain_Customer_D,0.1,linear,0.0406028085493156,0.8952406436915336,9
sundial,Supply_Chain_Customer_D,0.1,gp_rbf,0.045584362540963,0.5401287546061369,6
sundial,Supply_Chain_Customer_D,0.1,saits,0.07713217025952,0.5214316493756032,5
sundial,Supply_Chain_Customer_D,0.2,mean,0.2042609447699069,0.8455005269545421,9
sundial,Supply_Chain_Customer_D,0.2,forward,0.1397159671373969,1.6317226551374553,10
sundial,Supply_Chain_Customer_D,0.2,linear,0.2219438286142172,0.560364806819706,6
sundial,Supply_Chain_Customer_D,0.2,gp_rbf,0.2272624473477369,1.1065543971091736,10
sundial,Supply_Chain_Customer_D,0.2,saits,0.1886823187534353,0.9803945179624822,10
sundial,Supply_Chain_Customer_D,0.3,mean,0.2095687643679987,0.9370389441546644,9
sundial,Supply_Chain_Customer_D,0.3,forward,0.0958384806917963,2.144306886418564,10
sundial,Supply_Chain_Customer_D,0.3,linear,0.1453976835198623,1.4364799485415558,10
sundial,Supply_Chain_Customer_D,0.3,gp_rbf,0.1461789487403072,0.7020465257368125,8
sundial,Supply_Chain_Customer_D,0.3,saits,0.1901242260095533,0.5068364256671782,5
sundial,Supply_Chain_Location_D,0.1,mean,0.1124137493057855,0.4176627541059952,2
sundial,Supply_Chain_Location_D,0.1,forward,0.094823236923314,0.574075126649176,6
sundial,Supply_Chain_Location_D,0.1,linear,0.1155043043166171,0.4555992490709528,3
sundial,Supply_Chain_Location_D,0.1,gp_rbf,0.1246498191564713,0.3227656572415565,1
sundial,Supply_Chain_Location_D,0.1,saits,0.0819566059317708,0.4786854063972369,4
