dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean
Coastal_T_S_15T,long,010,backward,2,1.6031773805238088,0.3542618885133004,0.06845583138388817
Coastal_T_S_15T,long,010,backward,3,1.6146560203014455,0.14403462120128085,-0.012931470435527143
Coastal_T_S_15T,long,010,backward,4,1.9335509703733365,0.20396769540022602,0.0443576442104493
Coastal_T_S_15T,long,010,backward,5,1.9372106198613737,0.12229911475293519,0.016960751028724144
Coastal_T_S_15T,long,010,backward,6,1.502023428568707,0.1566643670506052,-0.014743859517578228
Coastal_T_S_15T,long,010,backward,7,1.5474787101526686,0.5251202370804642,-0.04413116706663023
Coastal_T_S_15T,long,010,backward,8,1.806873586567904,0.19653486797934222,-0.0010057050774244514
Coastal_T_S_15T,long,010,backward,9,1.4498880134889762,0.33974816831874904,0.04154928420055187
Coastal_T_S_15T,long,010,backward,10,1.7827044138054242,0.15755285311568368,-0.0020384918488499937
Coastal_T_S_15T,long,010,backward,11,1.5083128494014444,0.13843876151465034,-0.0015303974268323084
Coastal_T_S_15T,long,010,backward,12,2.0006011264653165,0.2729424732554663,0.1605538260745431
Coastal_T_S_15T,long,010,backward,13,1.956860726870898,0.7572128050027012,0.00048453090199296334
Coastal_T_S_15T,long,010,backward,14,1.89524095480984,0.24280484620615253,-0.013894912647164553
Coastal_T_S_15T,long,010,backward,15,1.7855095434797632,0.08516144134990315,-0.007765691751380421
Coastal_T_S_15T,long,010,backward,16,1.5451926466847838,0.3579370810063948,0.006563801093978472
Coastal_T_S_15T,long,010,backward,17,1.542724032218224,0.2572946324136997,0.007131889922964929
Coastal_T_S_15T,long,010,backward,18,2.4062600664231435,0.27002859522818523,-0.013908504459040794
Coastal_T_S_15T,long,010,backward,19,1.7591285821499032,0.3519802439860013,-0.021238220565093113
Coastal_T_S_15T,long,020,backward,0,1.4423188789598467,0.22424253484298345,0.014957094373566182
Coastal_T_S_15T,long,020,backward,1,1.5913551409006372,0.2800137840480141,-0.02314244142872096
Coastal_T_S_15T,long,020,backward,2,1.6891207717181522,0.27891746662943584,-0.006888590499976421
Coastal_T_S_15T,long,020,backward,3,1.889891976598647,0.2657270678505314,0.10876097621372341
Coastal_T_S_15T,long,020,backward,4,1.8645896965577542,0.18610291220943975,0.026492861019663028
Coastal_T_S_15T,long,020,backward,5,2.30501818657904,0.1355525836982594,0.030214219974048356
Coastal_T_S_15T,long,020,backward,6,2.015602885358008,0.15209507889398774,-0.019313147674195702
Coastal_T_S_15T,long,020,backward,7,1.8384452604451609,0.6601874286653971,0.09093602451830274
Coastal_T_S_15T,long,020,backward,8,1.5760936767827478,0.19317909626513344,-0.004361476791633234
Coastal_T_S_15T,long,020,backward,9,1.3647938657577439,0.27456613959046483,-0.02363274452773234
Coastal_T_S_15T,long,020,backward,10,1.8186606520572326,0.15715382861555208,-0.0024375163489815943
Coastal_T_S_15T,long,020,backward,11,1.4671665196961028,0.13342981850180158,-0.006539340439681074
Coastal_T_S_15T,long,020,backward,12,1.5094698273387568,0.25415489847190764,0.14176625129098447
Coastal_T_S_15T,long,020,backward,13,1.944884847995467,0.682042781887269,-0.07468549221343923
Coastal_T_S_15T,long,020,backward,14,1.5973372801081918,0.2712968715519407,0.014597112698623627
Coastal_T_S_15T,long,020,backward,15,1.9412962531235907,0.10170758738858382,0.008780454287300246
Coastal_T_S_15T,long,020,backward,16,1.8685663983253693,0.2949721981287885,-0.05640108178362785
Coastal_T_S_15T,long,020,backward,17,1.4194683997301627,0.26656304312567697,0.01640030063494219
Coastal_T_S_15T,long,020,backward,18,2.468497820149068,0.30755959295151764,0.02362249326429161
Coastal_T_S_15T,long,020,backward,19,2.224746797715485,0.3494617708079013,-0.023756693743193114
Coastal_T_S_15T,long,030,backward,0,1.4028282134837233,0.27712237281029195,0.06783693234087468
Coastal_T_S_15T,long,030,backward,1,1.8436392378084199,0.29996451495796345,-0.0031917105187715955
Coastal_T_S_15T,long,030,backward,2,1.4539849924591934,0.37055195223651655,0.08474589510710429
Coastal_T_S_15T,long,030,backward,3,1.5139546598124112,0.12948388276483164,-0.02748220887197636
Coastal_T_S_15T,long,030,backward,4,2.092553184261491,0.1443351366638359,-0.01527491452594082
Coastal_T_S_15T,long,030,backward,5,1.7712953294557274,0.08026551828783002,-0.025072845436381025
Coastal_T_S_15T,long,030,backward,6,1.3122685354389518,0.34524766322598227,0.17383943665779883
Coastal_T_S_15T,long,030,backward,7,1.4155455699367765,0.64945932438714,0.08020792024004564
Coastal_T_S_15T,long,030,backward,8,1.749254141520804,0.20278316424224532,0.005242591185478651
Coastal_T_S_15T,long,030,backward,9,1.8955822060030316,0.22924251142714477,-0.0689563726910524
Coastal_T_S_15T,long,030,backward,10,1.5840779926429915,0.16023058739334992,0.0006392424288162446
Coastal_T_S_15T,long,030,backward,11,1.5861520998365934,0.14199742253577527,0.0020282635942926175
Coastal_T_S_15T,long,030,backward,12,1.5299898137416748,0.08675684720758771,-0.02563179997333545
Coastal_T_S_15T,long,030,backward,13,1.9798784428947793,0.3599862808572724,-0.3967419932434358
Coastal_T_S_15T,long,030,backward,14,1.6543523965331457,0.2690920451794752,0.01239228632615813
Coastal_T_S_15T,long,030,backward,15,1.9097231093834408,0.07553011882298104,-0.017397014278302536
Coastal_T_S_15T,long,030,backward,16,1.2963933107142696,0.3404184212702568,-0.01095485864215956
Coastal_T_S_15T,long,030,backward,17,1.3434905109489892,0.2567384640319148,0.006575721541180024
Coastal_T_S_15T,long,030,backward,18,2.3984884980201153,0.23436836861010218,-0.04956873107712384
Coastal_T_S_15T,long,030,backward,19,2.2791752874118325,0.38937868570974443,0.016160221158650012
Coastal_T_S_20T,long,010,backward,0,1.6842246556497895,19.322698237842204,0.6733077800164509
Coastal_T_S_20T,long,010,backward,1,1.2572964115955525,1.9369177264434223,-0.13250549861481775
Coastal_T_S_20T,long,010,backward,2,1.4989896654182047,10.893907862247149,0.1565598426907684
Coastal_T_S_20T,long,010,backward,3,2.158635235022717,11.545013109241408,-0.001954646449098263
Coastal_T_S_20T,long,010,backward,4,2.1886155225440658,17.28773090190072,0.9409661522037069
Coastal_T_S_20T,long,010,backward,5,2.0289084061126603,11.242982123780347,0.21587628851534468
Coastal_T_S_20T,long,010,backward,6,1.2891490918669655,26.844894146158758,0.4352405078212698
Coastal_T_S_20T,long,020,backward,0,2.0180299823978087,18.292003789468986,-0.35738666835676725
Coastal_T_S_20T,long,020,backward,1,1.4301336093736146,1.922062397350234,-0.14736082770800607
Coastal_T_S_20T,long,020,backward,2,1.7567565194115518,10.920776293934729,0.18342827437834863
Coastal_T_S_20T,long,020,backward,3,2.0614731765263508,11.33585096899316,-0.21111678669734601
Coastal_T_S_20T,long,020,backward,4,2.094836341338317,16.720641354124652,0.3738766044276396
Coastal_T_S_20T,long,020,backward,5,2.024035026503128,11.284254576002548,0.257148740737545
Coastal_T_S_20T,long,020,backward,6,1.1014208943169985,26.337506458249,-0.0721471800884892
Coastal_T_S_20T,long,030,backward,0,1.9850975755479232,18.268198569771464,-0.38119188805428905
Coastal_T_S_20T,long,030,backward,1,1.9755769788250261,1.9456769771937794,-0.12374624786446065
Coastal_T_S_20T,long,030,backward,2,1.79330496417155,11.233171847612935,0.49582382805655456
Coastal_T_S_20T,long,030,backward,3,1.7836192112488385,11.77865225753227,0.23168450184176415
Coastal_T_S_20T,long,030,backward,4,1.92171106025598,14.401313186126277,-1.9454515635707352
Coastal_T_S_20T,long,030,backward,5,1.814765692985437,10.839313897351165,-0.18779193791383797
Coastal_T_S_20T,long,030,backward,6,0.6578330037286995,26.53851231307612,0.12885867473863044
Coastal_T_S_5T,long,010,backward,0,2.4392107771953624,77.75904940819164,-0.20802293998474397
Coastal_T_S_5T,long,010,backward,1,2.5174897539328724,75.71662207799442,-0.056647487680706377
Coastal_T_S_5T,long,010,backward,2,2.371862700283018,73.12812590717556,-0.08005124298780686
Coastal_T_S_5T,long,010,backward,3,2.598675065934494,79.22110105304256,-0.17184805289522842
Coastal_T_S_5T,long,010,backward,4,1.4473205539963494,51.82493754456622,-0.11842174259685123
Coastal_T_S_5T,long,010,backward,5,1.3402416144941223,8.403800514591763,-1.8144748573899019
Coastal_T_S_5T,long,010,backward,6,1.0037594855737364,13.197287148085756,0.5311462265119715
Coastal_T_S_5T,long,010,backward,7,1.2400056824552037,3.7182124670430237,-0.5851996119623997
Coastal_T_S_5T,long,010,backward,8,0.9978520176772543,4.973433506006661,0.3826929984932885
Coastal_T_S_5T,long,010,backward,9,0.8306240268050894,2.4837485419565875,-0.026401792989763084
Coastal_T_S_5T,long,010,backward,10,1.3089760150010206,5.39570115657091,0.3005901749579243
Coastal_T_S_5T,long,010,backward,11,1.204662536016974,6.898982994472844,0.010566212670735098
Coastal_T_S_5T,long,010,backward,12,1.1738718715694272,4.334482989016292,-0.015885289432082672
Coastal_T_S_5T,long,010,backward,13,1.3313514774800492,5.0498434796459835,0.17458807462859394
Coastal_T_S_5T,long,010,backward,14,1.3653796693005544,11.615354925286768,0.11445550803398064
Coastal_T_S_5T,long,010,backward,15,1.0747443316611365,12.89822715588635,3.0531967902040797
Coastal_T_S_5T,long,010,backward,16,1.2274537257420846,36.82578037958366,-0.9296088753832095
Coastal_T_S_5T,long,010,backward,17,2.623769861698477,104.25681489688657,3.67032691657586
Coastal_T_S_5T,long,010,backward,18,1.5174942852352828,82.57842466446422,-7.587259177817984
Coastal_T_S_5T,long,010,backward,19,1.4163621864835105,91.58569838059569,-0.45121815591843983
Coastal_T_S_5T,long,020,backward,0,2.361609187238364,77.86661791824974,-0.10045442992664277
Coastal_T_S_5T,long,020,backward,1,2.1716462801252296,75.68210582737206,-0.09116373830306657
Coastal_T_S_5T,long,020,backward,2,2.583980987442668,72.87963900876876,-0.3285381413946027
Coastal_T_S_5T,long,020,backward,3,2.309021251396561,79.24899339674111,-0.14395570919667477
Coastal_T_S_5T,long,020,backward,4,1.0784463958841046,51.833479379797495,-0.10987990736557407
Coastal_T_S_5T,long,020,backward,5,1.365271692760278,9.456992904733335,-0.7612824672483303
Coastal_T_S_5T,long,020,backward,6,0.7059722208613848,11.959496101531894,-0.7066448200418911
Coastal_T_S_5T,long,020,backward,7,1.0414685145461424,5.667871285613704,1.3644592066082808
Coastal_T_S_5T,long,020,backward,8,1.2584435935799774,2.93137258469217,-1.6593679228212022
Coastal_T_S_5T,long,020,backward,9,1.1030010539678163,2.700519504889034,0.1903691699426835
Coastal_T_S_5T,long,020,backward,10,1.083780417596217,4.363698935215011,-0.731412046397975
Coastal_T_S_5T,long,020,backward,11,1.6575799611467157,9.730058847531499,2.84164206572939
Coastal_T_S_5T,long,020,backward,12,1.5393322417542676,4.336612799549522,-0.013755478898852758
Coastal_T_S_5T,long,020,backward,13,1.260570945310244,3.978494477408549,-0.8967609276088404
Coastal_T_S_5T,long,020,backward,14,1.1200665965855456,11.414760970828517,-0.08613844642427004
Coastal_T_S_5T,long,020,backward,15,1.2258161735289899,10.419007932374955,0.573977566692685
Coastal_T_S_5T,long,020,backward,16,1.2054291839324622,35.04972986468556,-2.705659390281312
Coastal_T_S_5T,long,020,backward,17,2.3571394605662483,92.8110142119304,-7.775473768380309
Coastal_T_S_5T,long,020,backward,18,1.7875546796839448,93.17180494371442,3.006121101432214
Coastal_T_S_5T,long,020,backward,19,1.1175323450717762,119.68852479479524,27.651608258281115
Coastal_T_S_5T,long,030,backward,0,2.3755766252979598,77.9036454755304,-0.06342687264599078
Coastal_T_S_5T,long,030,backward,1,2.2235693530950726,76.13555378067498,0.3622842149998604
Coastal_T_S_5T,long,030,backward,2,2.3658737144339694,72.99140884808968,-0.2167683020736888
Coastal_T_S_5T,long,030,backward,3,2.1084650831848535,79.91241426884073,0.5194651629029465
Coastal_T_S_5T,long,030,backward,4,1.2242760696498147,51.82539047579626,-0.11796881136680781
Coastal_T_S_5T,long,030,backward,5,1.1218277480884378,9.520289972412051,-0.6979853995696139
Coastal_T_S_5T,long,030,backward,6,1.1965020047638224,11.982385702109404,-0.6837552194643806
Coastal_T_S_5T,long,030,backward,7,1.069789900030558,4.432864246135766,0.12945216713034302
Coastal_T_S_5T,long,030,backward,8,1.0687235844328593,10.224465003602003,5.633724496088631
Coastal_T_S_5T,long,030,backward,9,1.1712268369937497,2.7660330654004914,0.2558827304541409
Coastal_T_S_5T,long,030,backward,10,1.0572061214931194,3.7245085434326612,-1.3706024381803243
Coastal_T_S_5T,long,030,backward,11,1.3987265628254335,7.992395471130384,1.103978689328275
Coastal_T_S_5T,long,030,backward,12,1.1358979836137746,4.248599417460196,-0.10176886098817928
Coastal_T_S_5T,long,030,backward,13,1.198060984984175,4.7564241366175946,-0.11883126839979496
Coastal_T_S_5T,long,030,backward,14,1.580675437481032,12.241011993486712,0.7401125762339245
Coastal_T_S_5T,long,030,backward,15,1.4256867844068664,11.516272225833045,1.6712418601507757
Coastal_T_S_5T,long,030,backward,16,1.2388501681586697,36.541873459982014,-1.2135157949848576
Coastal_T_S_5T,long,030,backward,17,2.526496534264065,98.0038714708245,-2.5826165094862006
Coastal_T_S_5T,long,030,backward,18,1.1985529065137797,122.60237076649032,32.43668692420812
Coastal_T_S_5T,long,030,backward,19,1.4466330177350377,50.159038848761824,-41.8778776877523
Coastal_T_S_H,long,010,backward,0,1.3123414760831125,62.93094684757826,0.6347697378027988
