model,dataset,missing_ratio,target,combination,n_methods,spearman
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,frequency_only,8,-0.11904761904761905
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,drop_trend,8,-0.4285714285714286
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,drop_seasonal,8,-0.07142857142857144
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,drop_residual,8,-0.07142857142857144
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,drop_frequency,8,0.19047619047619052
chronos2,OpenElectricity_NEM_5T,0.1,relative_mse_gain,full,8,-0.07142857142857144
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,trend_only,8,0.7380952380952381
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,seasonal_only,8,-0.04761904761904763
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,residual_only,8,0.4523809523809524
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,frequency_only,8,0.5952380952380953
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,drop_trend,8,0.7380952380952381
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,drop_seasonal,8,0.7142857142857144
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,drop_residual,8,0.7380952380952381
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,drop_frequency,8,0.6666666666666669
chronos2,OpenElectricity_NEM_5T,0.2,relative_mse_gain,full,8,0.7380952380952381
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,trend_only,8,0.9761904761904763
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,seasonal_only,8,0.6428571428571429
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,residual_only,8,0.4285714285714286
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,frequency_only,8,0.8333333333333335
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,drop_trend,8,0.8333333333333335
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,drop_seasonal,8,0.8333333333333335
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,drop_residual,8,0.8333333333333335
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,drop_frequency,8,0.8095238095238096
chronos2,OpenElectricity_NEM_5T,0.3,relative_mse_gain,full,8,0.8333333333333335
chronos2,Port_Activity_D,0.1,relative_mse_gain,trend_only,8,-0.6190476190476191
chronos2,Port_Activity_D,0.1,relative_mse_gain,seasonal_only,8,-0.3571428571428572
chronos2,Port_Activity_D,0.1,relative_mse_gain,residual_only,8,-0.5476190476190477
chronos2,Port_Activity_D,0.1,relative_mse_gain,frequency_only,8,0.5714285714285715
chronos2,Port_Activity_D,0.1,relative_mse_gain,drop_trend,8,-0.6904761904761906
