dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean,prediction_mode,y_value
Coastal_T_S_15T,long,030,forward,11,1.7858567626848643,0.16628115977223462,0.00850570240215398,forward,0.00850570240215398
Coastal_T_S_15T,long,030,forward,12,2.789611047806901,0.07623894842007617,-0.005682017291826075,forward,-0.005682017291826075
Coastal_T_S_15T,long,030,forward,13,1.7289653899416741,0.2900856026316788,-0.057491431006507776,forward,-0.057491431006507776
Coastal_T_S_15T,long,030,forward,14,1.7368950594579526,0.23927295786176275,-0.007708300583370742,forward,-0.007708300583370742
Coastal_T_S_15T,long,030,forward,15,1.9230783025267872,0.0863337940131573,-0.005136784339919681,forward,-0.005136784339919681
Coastal_T_S_15T,long,030,forward,16,1.5585947271054112,0.17917121126872804,-0.0017797578159986505,forward,-0.0017797578159986505
Coastal_T_S_15T,long,030,forward,17,1.4631521640087444,0.15814717060954156,0.003972559824983735,forward,0.003972559824983735
Coastal_T_S_15T,long,030,forward,18,1.3106415039834496,0.23127498286920667,0.004520115519982132,forward,0.004520115519982132
Coastal_T_S_15T,long,030,forward,19,1.817684559591198,0.32053908690260013,-0.005858855797895801,forward,-0.005858855797895801
Coastal_T_S_15T,long,010,linear,0,1.5751690022959535,0.24480266017835767,0.002806673773043833,linear,0.002806673773043833
Coastal_T_S_15T,long,010,linear,1,1.771731491092202,0.27207357163739093,-0.04315746214696464,linear,-0.04315746214696464
Coastal_T_S_15T,long,010,linear,2,1.4611846691200712,0.21783836639203183,0.0009210980359243004,linear,0.0009210980359243004
Coastal_T_S_15T,long,010,linear,3,1.402139743529756,0.13586842826788592,0.020157545252318068,linear,0.020157545252318068
Coastal_T_S_15T,long,010,linear,4,1.5131328892315101,0.16863902448264406,0.0032200261785010342,linear,0.0032200261785010342
Coastal_T_S_15T,long,010,linear,5,1.4153510506359028,0.15105004030007804,-0.02350030057079372,linear,-0.02350030057079372
Coastal_T_S_15T,long,010,linear,6,1.4736074663028216,0.19768752013614715,0.00015702642320533644,linear,0.00015702642320533644
Coastal_T_S_15T,long,010,linear,7,1.6238941584910571,0.2736455597870848,-0.0015755934828586282,linear,-0.0015755934828586282
Coastal_T_S_15T,long,010,linear,8,2.0031019515325688,0.19574197576794217,0.0004231396615851646,linear,0.0004231396615851646
Coastal_T_S_15T,long,010,linear,9,1.700059762960389,0.23009031315421258,-0.010867014959926091,linear,-0.010867014959926091
Coastal_T_S_15T,long,010,linear,10,1.7693914020882933,0.1569579939803401,0.00019544234841059605,linear,0.00019544234841059605
Coastal_T_S_15T,long,010,linear,11,1.6495887156598803,0.14677883140804088,-0.010996625962039763,linear,-0.010996625962039763
Coastal_T_S_15T,long,010,linear,12,1.5674554518141308,0.10455138130076841,0.022630415588866165,linear,0.022630415588866165
Coastal_T_S_15T,long,010,linear,13,1.956298214599434,0.3268947529380756,-0.020682280700111022,linear,-0.020682280700111022
Coastal_T_S_15T,long,010,linear,14,2.137091605506924,0.24860983350763985,0.0016285750625063544,linear,0.0016285750625063544
Coastal_T_S_15T,long,010,linear,15,1.9870342721546075,0.08826064393937216,-0.003209934413704818,linear,-0.003209934413704818
Coastal_T_S_15T,long,010,linear,16,1.6958738255703878,0.17392174495007945,-0.007029224134647238,linear,-0.007029224134647238
Coastal_T_S_15T,long,010,linear,17,1.7956563716799692,0.154226873722223,5.22629376651651e-05,linear,5.22629376651651e-05
Coastal_T_S_15T,long,010,linear,18,1.3499987292215625,0.22684610093981794,9.123359059340364e-05,linear,9.123359059340364e-05
Coastal_T_S_15T,long,010,linear,19,2.123704984599257,0.3219926697362658,-0.004405272964230156,linear,-0.004405272964230156
Coastal_T_S_15T,long,020,linear,0,1.5253200618577318,0.25842536793030463,0.016429381524990794,linear,0.016429381524990794
