model,dataset,method,missing_ratio,mse_change_pct,class
Kairos-23M,ETTh2,kalman_struct,0.3,26.000899881601324,non-monotonic
Kairos-23M,ETTh2,linear,0.1,3.859522935796212,non-monotonic
Kairos-23M,ETTh2,linear,0.2,3.147132647880667,non-monotonic
Kairos-23M,ETTh2,linear,0.3,15.943480999002457,non-monotonic
Kairos-23M,ETTh2,mean,0.1,8.686739675738872,non-monotonic
Kairos-23M,ETTh2,mean,0.2,10.219847591277397,non-monotonic
Kairos-23M,ETTh2,mean,0.3,-3.2129705464977074,non-monotonic
Kairos-23M,ETTh2,saits,0.1,-3.3074299967295473,strictly increasing
Kairos-23M,ETTh2,saits,0.2,-0.6740113897029065,strictly increasing
Kairos-23M,ETTh2,saits,0.3,8.541597369341154,strictly increasing
Kairos-23M,EWELD_Load_15T,backward,0.1,13.749135535952153,strictly increasing
Kairos-23M,EWELD_Load_15T,backward,0.2,43.79804203509096,strictly increasing
Kairos-23M,EWELD_Load_15T,backward,0.3,93.59737103670781,strictly increasing
Kairos-23M,EWELD_Load_15T,forward,0.1,23.583663388308935,strictly increasing
Kairos-23M,EWELD_Load_15T,forward,0.2,41.239262386796504,strictly increasing
Kairos-23M,EWELD_Load_15T,forward,0.3,96.96993898725792,strictly increasing
Kairos-23M,EWELD_Load_15T,gp_rbf,0.1,9.297829967285256,strictly increasing
Kairos-23M,EWELD_Load_15T,gp_rbf,0.2,32.37848417071884,strictly increasing
Kairos-23M,EWELD_Load_15T,gp_rbf,0.3,63.21455256951963,strictly increasing
Kairos-23M,EWELD_Load_15T,kalman_arima,0.1,7.691928588985664,strictly increasing
Kairos-23M,EWELD_Load_15T,kalman_arima,0.2,14.158013168790845,strictly increasing
Kairos-23M,EWELD_Load_15T,kalman_arima,0.3,37.88463570473621,strictly increasing
Kairos-23M,EWELD_Load_15T,kalman_struct,0.1,9.90591727400103,strictly increasing
Kairos-23M,EWELD_Load_15T,kalman_struct,0.2,14.103896329199486,strictly increasing
Kairos-23M,EWELD_Load_15T,kalman_struct,0.3,54.28986796388793,strictly increasing
Kairos-23M,EWELD_Load_15T,linear,0.1,6.630020301690251,strictly increasing
Kairos-23M,EWELD_Load_15T,linear,0.2,16.630046610984063,strictly increasing
Kairos-23M,EWELD_Load_15T,linear,0.3,39.83730394536013,strictly increasing
Kairos-23M,EWELD_Load_15T,mean,0.1,9.336034041414157,strictly increasing
Kairos-23M,EWELD_Load_15T,mean,0.2,20.798551783987616,strictly increasing
Kairos-23M,EWELD_Load_15T,mean,0.3,52.11789248013423,strictly increasing
Kairos-23M,EWELD_Load_15T,saits,0.1,2.452101206696602,non-monotonic
Kairos-23M,EWELD_Load_15T,saits,0.2,1.0517055003122044,non-monotonic
Kairos-23M,EWELD_Load_15T,saits,0.3,4.427857215816963,non-monotonic
Kairos-23M,Finland_Traffic_15T,backward,0.1,46.753102953309565,strictly increasing
Kairos-23M,Finland_Traffic_15T,backward,0.2,120.98720828148987,strictly increasing
Kairos-23M,Finland_Traffic_15T,backward,0.3,181.0381599193678,strictly increasing
Kairos-23M,Finland_Traffic_15T,forward,0.1,57.49334706920393,strictly increasing
Kairos-23M,Finland_Traffic_15T,forward,0.2,177.90414227046773,strictly increasing
Kairos-23M,Finland_Traffic_15T,forward,0.3,278.6719111644231,strictly increasing
Kairos-23M,Finland_Traffic_15T,gp_rbf,0.1,25.668331055951825,strictly increasing
Kairos-23M,Finland_Traffic_15T,gp_rbf,0.2,89.70745627536722,strictly increasing
Kairos-23M,Finland_Traffic_15T,gp_rbf,0.3,141.2759368676498,strictly increasing
Kairos-23M,Finland_Traffic_15T,kalman_arima,0.1,19.333398311610644,strictly increasing
Kairos-23M,Finland_Traffic_15T,kalman_arima,0.2,68.18482659711704,strictly increasing
Kairos-23M,Finland_Traffic_15T,kalman_arima,0.3,115.67588317252573,strictly increasing
Kairos-23M,Finland_Traffic_15T,kalman_struct,0.1,31.25131656576481,strictly increasing
Kairos-23M,Finland_Traffic_15T,kalman_struct,0.2,65.18416705057572,strictly increasing
Kairos-23M,Finland_Traffic_15T,kalman_struct,0.3,84.70501174992296,strictly increasing
Kairos-23M,Finland_Traffic_15T,linear,0.1,26.55094560965266,strictly increasing
Kairos-23M,Finland_Traffic_15T,linear,0.2,84.57961059032424,strictly increasing
Kairos-23M,Finland_Traffic_15T,linear,0.3,99.12359456385998,strictly increasing
Kairos-23M,Finland_Traffic_15T,mean,0.1,19.82750614425092,strictly increasing
Kairos-23M,Finland_Traffic_15T,mean,0.2,80.50371583771148,strictly increasing
Kairos-23M,Finland_Traffic_15T,mean,0.3,126.15123937906539,strictly increasing
Kairos-23M,Finland_Traffic_15T,saits,0.1,12.050471406512358,strictly increasing
Kairos-23M,Finland_Traffic_15T,saits,0.2,22.221304919389226,strictly increasing
Kairos-23M,Finland_Traffic_15T,saits,0.3,34.241581635568195,strictly increasing
Kairos-23M,NE_China_Wind_H,backward,0.1,3.8644559570768835,strictly increasing
Kairos-23M,NE_China_Wind_H,backward,0.2,11.410026766984608,strictly increasing
Kairos-23M,NE_China_Wind_H,backward,0.3,15.709296219120775,strictly increasing
Kairos-23M,NE_China_Wind_H,forward,0.1,11.158499415413417,non-monotonic
Kairos-23M,NE_China_Wind_H,forward,0.2,1.76750733769288,non-monotonic
Kairos-23M,NE_China_Wind_H,forward,0.3,21.08438054419547,non-monotonic
Kairos-23M,NE_China_Wind_H,gp_rbf,0.1,-0.9541278556679235,strictly increasing
Kairos-23M,NE_China_Wind_H,gp_rbf,0.2,5.650221964126998,strictly increasing
Kairos-23M,NE_China_Wind_H,gp_rbf,0.3,17.990514705288316,strictly increasing
Kairos-23M,NE_China_Wind_H,kalman_arima,0.1,-3.3348789746749867,strictly increasing
Kairos-23M,NE_China_Wind_H,kalman_arima,0.2,9.107913351862186,strictly increasing
Kairos-23M,NE_China_Wind_H,kalman_arima,0.3,31.181333530731575,strictly increasing
Kairos-23M,NE_China_Wind_H,kalman_struct,0.1,1.030317949042909,strictly increasing
Kairos-23M,NE_China_Wind_H,kalman_struct,0.2,9.477885407343347,strictly increasing
Kairos-23M,NE_China_Wind_H,kalman_struct,0.3,11.776118890042007,strictly increasing
Kairos-23M,NE_China_Wind_H,linear,0.1,0.4229059497714591,strictly increasing
Kairos-23M,NE_China_Wind_H,linear,0.2,6.613290226868183,strictly increasing
Kairos-23M,NE_China_Wind_H,linear,0.3,13.260956922387393,strictly increasing
Kairos-23M,NE_China_Wind_H,mean,0.1,-4.120705477551231,strictly increasing
Kairos-23M,NE_China_Wind_H,mean,0.2,7.942088540106185,strictly increasing
Kairos-23M,NE_China_Wind_H,mean,0.3,32.16478536456512,strictly increasing
Kairos-23M,NE_China_Wind_H,saits,0.1,-5.587143353723397,strictly increasing
Kairos-23M,NE_China_Wind_H,saits,0.2,3.2380299493833022,strictly increasing
Kairos-23M,NE_China_Wind_H,saits,0.3,13.732681022665439,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,backward,0.1,11.014075712799926,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,backward,0.2,48.18758224229353,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,backward,0.3,66.24295389304125,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,forward,0.1,13.933557516491105,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,forward,0.2,37.38060750610003,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,forward,0.3,55.19481646394462,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,gp_rbf,0.1,3.830980872818702,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,gp_rbf,0.2,39.046015955751045,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,gp_rbf,0.3,94.78197519779668,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,kalman_arima,0.1,32.76535296940665,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,kalman_arima,0.2,63.73310053469221,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,kalman_arima,0.3,118.73537819191091,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,kalman_struct,0.1,-2.351137379118106,non-monotonic
Kairos-23M,OpenElectricity_NEM_5T,kalman_struct,0.2,4.915723918376129,non-monotonic
Kairos-23M,OpenElectricity_NEM_5T,kalman_struct,0.3,2.616430016783537,non-monotonic
Kairos-23M,OpenElectricity_NEM_5T,linear,0.1,0.166531732250032,non-monotonic
Kairos-23M,OpenElectricity_NEM_5T,linear,0.2,11.630224903094268,non-monotonic
Kairos-23M,OpenElectricity_NEM_5T,linear,0.3,7.5452370806669045,non-monotonic
Kairos-23M,OpenElectricity_NEM_5T,mean,0.1,32.554281562365254,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,mean,0.2,63.063196564477245,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,mean,0.3,113.88805083160524,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,saits,0.1,13.425793832975577,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,saits,0.2,20.47168599658797,strictly increasing
Kairos-23M,OpenElectricity_NEM_5T,saits,0.3,42.54245433969644,strictly increasing
Kairos-23M,Port_Activity_D,backward,0.1,2.403458814418666,non-monotonic
Kairos-23M,Port_Activity_D,backward,0.2,2.6701554329817667,non-monotonic
Kairos-23M,Port_Activity_D,backward,0.3,2.5146373810523164,non-monotonic
Kairos-23M,Port_Activity_D,forward,0.1,0.7042073642284074,non-monotonic
Kairos-23M,Port_Activity_D,forward,0.2,-5.709057811570575,non-monotonic
Kairos-23M,Port_Activity_D,forward,0.3,8.213650552641768,non-monotonic
Kairos-23M,Port_Activity_D,gp_rbf,0.1,0.12401850268634387,non-monotonic
Kairos-23M,Port_Activity_D,gp_rbf,0.2,2.8898456169790285,non-monotonic
Kairos-23M,Port_Activity_D,gp_rbf,0.3,-7.672164791418558,non-monotonic
Kairos-23M,Port_Activity_D,kalman_arima,0.1,-0.6313927409620885,non-monotonic
Kairos-23M,Port_Activity_D,kalman_arima,0.2,-4.827089402354493,non-monotonic
Kairos-23M,Port_Activity_D,kalman_arima,0.3,-3.5162710135162576,non-monotonic
Kairos-23M,Port_Activity_D,kalman_struct,0.1,-1.1946633252542,strictly increasing
Kairos-23M,Port_Activity_D,kalman_struct,0.2,0.6599320372301826,strictly increasing
Kairos-23M,Port_Activity_D,kalman_struct,0.3,33.77445808811017,strictly increasing
Kairos-23M,Port_Activity_D,linear,0.1,1.1374106232890457,non-monotonic
Kairos-23M,Port_Activity_D,linear,0.2,-1.5936084397212507,non-monotonic
Kairos-23M,Port_Activity_D,linear,0.3,3.11984622667317,non-monotonic
Kairos-23M,Port_Activity_D,mean,0.1,-0.6471562594750642,non-monotonic
Kairos-23M,Port_Activity_D,mean,0.2,-4.18859390892257,non-monotonic
Kairos-23M,Port_Activity_D,mean,0.3,-4.0249558149069395,non-monotonic
Kairos-23M,Port_Activity_D,saits,0.1,0.46065195488933136,non-monotonic
Kairos-23M,Port_Activity_D,saits,0.2,8.530258852973693,non-monotonic
Kairos-23M,Port_Activity_D,saits,0.3,7.766617555694948,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,backward,0.1,5.656485629014394,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,backward,0.2,19.641518215440897,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,backward,0.3,11.47491026925598,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,forward,0.1,2.680853867085868,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,forward,0.2,16.197781632479796,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,forward,0.3,2.344823287505707,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,gp_rbf,0.1,-1.3542560460632127,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,gp_rbf,0.2,-2.0468462878998355,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,gp_rbf,0.3,13.173922256704762,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,kalman_arima,0.1,-7.2105062793366645,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,kalman_arima,0.2,-9.66735090437552,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,kalman_arima,0.3,-10.815269822140534,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,kalman_struct,0.1,6.488849377445838,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,kalman_struct,0.2,4.9356603389399085,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,kalman_struct,0.3,-1.5044115067534587,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,linear,0.1,5.13297031026486,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,linear,0.2,2.0676906356587663,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,linear,0.3,-1.8027305040420876,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,mean,0.1,-7.208977133163532,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,mean,0.2,-9.639216466039683,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,mean,0.3,-10.477991790297617,strictly decreasing
Kairos-23M,Supply_Chain_Customer_D,saits,0.1,-3.0362733528625108,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,saits,0.2,8.69591111462956,non-monotonic
Kairos-23M,Supply_Chain_Customer_D,saits,0.3,-4.173890859714911,non-monotonic
Kairos-23M,Supply_Chain_Location_D,backward,0.1,2.621288732595405,non-monotonic
Kairos-23M,Supply_Chain_Location_D,backward,0.2,-3.0785580207947594,non-monotonic
Kairos-23M,Supply_Chain_Location_D,backward,0.3,13.624917551420602,non-monotonic
Kairos-23M,Supply_Chain_Location_D,forward,0.1,12.211220321640267,non-monotonic
Kairos-23M,Supply_Chain_Location_D,forward,0.2,0.8626747043949685,non-monotonic
Kairos-23M,Supply_Chain_Location_D,forward,0.3,21.488569788541525,non-monotonic
Kairos-23M,Supply_Chain_Location_D,gp_rbf,0.1,-5.751545997232872,strictly increasing
Kairos-23M,Supply_Chain_Location_D,gp_rbf,0.2,-5.224735390250191,strictly increasing
Kairos-23M,Supply_Chain_Location_D,gp_rbf,0.3,-1.9707603762111856,strictly increasing
Kairos-23M,Supply_Chain_Location_D,kalman_arima,0.1,-7.941620836037017,strictly increasing
Kairos-23M,Supply_Chain_Location_D,kalman_arima,0.2,-5.533926877510637,strictly increasing
Kairos-23M,Supply_Chain_Location_D,kalman_arima,0.3,-2.299423453752371,strictly increasing
Kairos-23M,Supply_Chain_Location_D,kalman_struct,0.1,-4.2838452040321755,strictly increasing
Kairos-23M,Supply_Chain_Location_D,kalman_struct,0.2,-2.7885500626769213,strictly increasing
Kairos-23M,Supply_Chain_Location_D,kalman_struct,0.3,28.160604438577675,strictly increasing
Kairos-23M,Supply_Chain_Location_D,linear,0.1,-6.730712731000649,non-monotonic
Kairos-23M,Supply_Chain_Location_D,linear,0.2,-7.949710671669166,non-monotonic
Kairos-23M,Supply_Chain_Location_D,linear,0.3,11.130877114160562,non-monotonic
Kairos-23M,Supply_Chain_Location_D,mean,0.1,-6.434721757283842,strictly increasing
Kairos-23M,Supply_Chain_Location_D,mean,0.2,-5.415813588787236,strictly increasing
Kairos-23M,Supply_Chain_Location_D,mean,0.3,-4.062604993735148,strictly increasing
Kairos-23M,Supply_Chain_Location_D,saits,0.1,-0.624291940505219,non-monotonic
Kairos-23M,Supply_Chain_Location_D,saits,0.2,-1.6548781129671002,non-monotonic
Kairos-23M,Supply_Chain_Location_D,saits,0.3,0.25441430201933957,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,backward,0.1,8.553182448649817,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,backward,0.2,4.100254942515409,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,backward,0.3,-2.4988080620192696,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,forward,0.1,9.320564813114006,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,forward,0.2,0.863939931268124,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,forward,0.3,3.9501880287421387,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,gp_rbf,0.1,9.479809352714085,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,gp_rbf,0.2,3.8060896917882614,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,gp_rbf,0.3,1.0875562017866918,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,kalman_arima,0.1,-3.2667439290290625,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,kalman_arima,0.2,62.08111564072458,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,kalman_arima,0.3,28.15250707806906,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,kalman_struct,0.1,7.527470899745619,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,kalman_struct,0.2,-8.326188676970625,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,kalman_struct,0.3,-0.2385539781366651,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,linear,0.1,-1.6922523504247882,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,linear,0.2,-3.9918081315684835,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,linear,0.3,0.826194582851067,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,mean,0.1,-2.9060088478854826,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,mean,0.2,57.930488062823294,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,mean,0.3,28.568692964565876,non-monotonic
Kairos-23M,Water_Quality_Darwin_15T,saits,0.1,6.295214771521036,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,saits,0.2,1.979999680579695,strictly decreasing
Kairos-23M,Water_Quality_Darwin_15T,saits,0.3,1.0388602804596436,strictly decreasing
Kairos-23M,azure2019_U_5T,backward,0.1,-18.582133192951265,non-monotonic
Kairos-23M,azure2019_U_5T,backward,0.2,-25.47061995276334,non-monotonic
Kairos-23M,azure2019_U_5T,backward,0.3,-3.068570669709892,non-monotonic
Kairos-23M,azure2019_U_5T,forward,0.1,11.394295909602484,non-monotonic
Kairos-23M,azure2019_U_5T,forward,0.2,-7.236389802463792,non-monotonic
Kairos-23M,azure2019_U_5T,forward,0.3,48.01456237004593,non-monotonic
Kairos-23M,azure2019_U_5T,gp_rbf,0.1,2.5838698560393993,strictly increasing
Kairos-23M,azure2019_U_5T,gp_rbf,0.2,10.709146741140827,strictly increasing
Kairos-23M,azure2019_U_5T,gp_rbf,0.3,13.200823233841879,strictly increasing
Kairos-23M,azure2019_U_5T,kalman_arima,0.1,-5.849787759144265,non-monotonic
Kairos-23M,azure2019_U_5T,kalman_arima,0.2,-16.737082948630725,non-monotonic
Kairos-23M,azure2019_U_5T,kalman_arima,0.3,-0.8496559971074412,non-monotonic
Kairos-23M,azure2019_U_5T,kalman_struct,0.1,22.65694336145089,non-monotonic
Kairos-23M,azure2019_U_5T,kalman_struct,0.2,36.99140612703774,non-monotonic
Kairos-23M,azure2019_U_5T,kalman_struct,0.3,8.646958937972501,non-monotonic
Kairos-23M,azure2019_U_5T,linear,0.1,-8.923297001332697,non-monotonic
Kairos-23M,azure2019_U_5T,linear,0.2,-11.549803869198358,non-monotonic
Kairos-23M,azure2019_U_5T,linear,0.3,39.59420584388474,non-monotonic
Kairos-23M,azure2019_U_5T,mean,0.1,-5.134379476615457,strictly decreasing
Kairos-23M,azure2019_U_5T,mean,0.2,-16.444925180557263,strictly decreasing
Kairos-23M,azure2019_U_5T,mean,0.3,-27.278402067499073,strictly decreasing
Kairos-23M,azure2019_U_5T,saits,0.1,-18.109675840732457,non-monotonic
Kairos-23M,azure2019_U_5T,saits,0.2,-31.00216310496772,non-monotonic
Kairos-23M,azure2019_U_5T,saits,0.3,-24.303920447292356,non-monotonic
Kairos-23M,current_velocity_15T,backward,0.1,3.820266242635978,strictly increasing
Kairos-23M,current_velocity_15T,backward,0.2,4.743648967862219,strictly increasing
Kairos-23M,current_velocity_15T,backward,0.3,19.13837828728819,strictly increasing
Kairos-23M,current_velocity_15T,forward,0.1,2.6179838905161854,strictly decreasing
Kairos-23M,current_velocity_15T,forward,0.2,1.073026267181678,strictly decreasing
Kairos-23M,current_velocity_15T,forward,0.3,-2.334961067976361,strictly decreasing
Kairos-23M,current_velocity_15T,gp_rbf,0.1,-0.6701826220972598,strictly decreasing
Kairos-23M,current_velocity_15T,gp_rbf,0.2,-1.8078369317480045,strictly decreasing
Kairos-23M,current_velocity_15T,gp_rbf,0.3,-14.638991859737885,strictly decreasing
Kairos-23M,current_velocity_15T,kalman_arima,0.1,20.76569747969141,non-monotonic
Kairos-23M,current_velocity_15T,kalman_arima,0.2,7.803431659609389,non-monotonic
Kairos-23M,current_velocity_15T,kalman_arima,0.3,147.9347332197083,non-monotonic
Kairos-23M,current_velocity_15T,kalman_struct,0.1,0.8799244393904988,non-monotonic
Kairos-23M,current_velocity_15T,kalman_struct,0.2,6.5715312757918865,non-monotonic
Kairos-23M,current_velocity_15T,kalman_struct,0.3,4.148497010367723,non-monotonic
Kairos-23M,current_velocity_15T,linear,0.1,-0.052379025005127214,non-monotonic
Kairos-23M,current_velocity_15T,linear,0.2,4.828109286975972,non-monotonic
Kairos-23M,current_velocity_15T,linear,0.3,4.4272227929021595,non-monotonic
Kairos-23M,current_velocity_15T,mean,0.1,20.39503046271901,non-monotonic
Kairos-23M,current_velocity_15T,mean,0.2,8.814649247274966,non-monotonic
Kairos-23M,current_velocity_15T,mean,0.3,183.00234956259217,non-monotonic
Kairos-23M,current_velocity_15T,saits,0.1,3.4867037805680448,strictly increasing
Kairos-23M,current_velocity_15T,saits,0.2,10.435596483128629,strictly increasing
Kairos-23M,current_velocity_15T,saits,0.3,11.633792090838735,strictly increasing
Kairos-23M,current_velocity_20T,backward,0.1,10.22754886900374,non-monotonic
Kairos-23M,current_velocity_20T,backward,0.2,5.463660956083177,non-monotonic
Kairos-23M,current_velocity_20T,backward,0.3,14.597893409927105,non-monotonic
Kairos-23M,current_velocity_20T,forward,0.1,7.36238282733611,strictly decreasing
Kairos-23M,current_velocity_20T,forward,0.2,6.348251482681558,strictly decreasing
Kairos-23M,current_velocity_20T,forward,0.3,1.128868483123716,strictly decreasing
Kairos-23M,current_velocity_20T,gp_rbf,0.1,3.039111161859276,non-monotonic
Kairos-23M,current_velocity_20T,gp_rbf,0.2,0.050205604458814446,non-monotonic
Kairos-23M,current_velocity_20T,gp_rbf,0.3,4.863684889090188,non-monotonic
Kairos-23M,current_velocity_20T,kalman_arima,0.1,2.458429704041017,non-monotonic
Kairos-23M,current_velocity_20T,kalman_arima,0.2,-2.3316598846237513,non-monotonic
Kairos-23M,current_velocity_20T,kalman_arima,0.3,3.9539233244099115,non-monotonic
Kairos-23M,current_velocity_20T,kalman_struct,0.1,7.853163753137748,strictly decreasing
Kairos-23M,current_velocity_20T,kalman_struct,0.2,6.488500926555531,strictly decreasing
Kairos-23M,current_velocity_20T,kalman_struct,0.3,-0.7217430943646098,strictly decreasing
Kairos-23M,current_velocity_20T,linear,0.1,4.491463168086727,non-monotonic
Kairos-23M,current_velocity_20T,linear,0.2,-2.460381696329105,non-monotonic
Kairos-23M,current_velocity_20T,linear,0.3,5.816799644185612,non-monotonic
Kairos-23M,current_velocity_20T,mean,0.1,1.2446089164809575,strictly decreasing
Kairos-23M,current_velocity_20T,mean,0.2,-3.8000918857891515,strictly decreasing
Kairos-23M,current_velocity_20T,mean,0.3,-6.847638898920798,strictly decreasing
Kairos-23M,current_velocity_20T,saits,0.1,1.2509426323731296,non-monotonic
Kairos-23M,current_velocity_20T,saits,0.2,-4.671530383866606,non-monotonic
Kairos-23M,current_velocity_20T,saits,0.3,-2.264022920345141,non-monotonic
Kairos-23M,current_velocity_5T,backward,0.1,22.009682601606592,strictly increasing
Kairos-23M,current_velocity_5T,backward,0.2,62.91986110890014,strictly increasing
Kairos-23M,current_velocity_5T,backward,0.3,83.0338664266769,strictly increasing
Kairos-23M,current_velocity_5T,forward,0.1,1.3900990263099724,non-monotonic
Kairos-23M,current_velocity_5T,forward,0.2,-5.397121649212967,non-monotonic
Kairos-23M,current_velocity_5T,forward,0.3,14.298602780656863,non-monotonic
Kairos-23M,current_velocity_5T,gp_rbf,0.1,17.346659249488255,strictly increasing
Kairos-23M,current_velocity_5T,gp_rbf,0.2,55.21906706229797,strictly increasing
Kairos-23M,current_velocity_5T,gp_rbf,0.3,68.42314377732241,strictly increasing
Kairos-23M,current_velocity_5T,kalman_arima,0.1,21.74372398326903,strictly increasing
Kairos-23M,current_velocity_5T,kalman_arima,0.2,68.3584285322077,strictly increasing
Kairos-23M,current_velocity_5T,kalman_arima,0.3,73.09997947991505,strictly increasing
Kairos-23M,current_velocity_5T,kalman_struct,0.1,0.12777318262592302,non-monotonic
Kairos-23M,current_velocity_5T,kalman_struct,0.2,0.40183603514450833,non-monotonic
Kairos-23M,current_velocity_5T,kalman_struct,0.3,-0.17196921507513685,non-monotonic
Kairos-23M,current_velocity_5T,linear,0.1,1.5551319729309299,non-monotonic
Kairos-23M,current_velocity_5T,linear,0.2,10.71054839218265,non-monotonic
Kairos-23M,current_velocity_5T,linear,0.3,9.605225403647072,non-monotonic
Kairos-23M,current_velocity_5T,mean,0.1,20.524345085461466,strictly increasing
Kairos-23M,current_velocity_5T,mean,0.2,64.66271282500945,strictly increasing
Kairos-23M,current_velocity_5T,mean,0.3,71.01375107370635,strictly increasing
Kairos-23M,current_velocity_5T,saits,0.1,8.40622528349227,strictly increasing
Kairos-23M,current_velocity_5T,saits,0.2,39.60935951385061,strictly increasing
Kairos-23M,current_velocity_5T,saits,0.3,40.071901854243706,strictly increasing
Kairos-23M,current_velocity_H,backward,0.1,-2.34639242178666,non-monotonic
Kairos-23M,current_velocity_H,backward,0.2,3.3761443184078366,non-monotonic
Kairos-23M,current_velocity_H,backward,0.3,-0.7753311339613178,non-monotonic
Kairos-23M,current_velocity_H,forward,0.1,-1.4534385455648409,non-monotonic
Kairos-23M,current_velocity_H,forward,0.2,-4.262564238750575,non-monotonic
Kairos-23M,current_velocity_H,forward,0.3,7.909632671240232,non-monotonic
Kairos-23M,current_velocity_H,gp_rbf,0.1,-2.844209316790221,strictly increasing
Kairos-23M,current_velocity_H,gp_rbf,0.2,-0.10502632415843637,strictly increasing
Kairos-23M,current_velocity_H,gp_rbf,0.3,12.14581402307435,strictly increasing
Kairos-23M,current_velocity_H,kalman_arima,0.1,-2.523067907958398,non-monotonic
Kairos-23M,current_velocity_H,kalman_arima,0.2,-5.345474859384418,non-monotonic
Kairos-23M,current_velocity_H,kalman_arima,0.3,7.4400061589673605,non-monotonic
Kairos-23M,current_velocity_H,kalman_struct,0.1,2.1345097997102025,non-monotonic
Kairos-23M,current_velocity_H,kalman_struct,0.2,5.124105626126777,non-monotonic
Kairos-23M,current_velocity_H,kalman_struct,0.3,1.6159121735968074,non-monotonic
Kairos-23M,current_velocity_H,linear,0.1,-2.0436404295338457,non-monotonic
Kairos-23M,current_velocity_H,linear,0.2,-4.42636262996802,non-monotonic
Kairos-23M,current_velocity_H,linear,0.3,2.5403570950737713,non-monotonic
Kairos-23M,current_velocity_H,mean,0.1,-3.078668926818123,non-monotonic
Kairos-23M,current_velocity_H,mean,0.2,-4.587533972759807,non-monotonic
Kairos-23M,current_velocity_H,mean,0.3,10.742738723705356,non-monotonic
Kairos-23M,current_velocity_H,saits,0.1,-2.0346365768479053,non-monotonic
Kairos-23M,current_velocity_H,saits,0.2,-2.478980431667953,non-monotonic
Kairos-23M,current_velocity_H,saits,0.3,1.6689922894669869,non-monotonic
Kairos-23M,electricity,backward,0.1,1.487542420406341,non-monotonic
Kairos-23M,electricity,backward,0.2,42.63664930062935,non-monotonic
