model,dataset,method,missing_ratio,mse_change_pct,class
Chronos-2,Coastal_T_S_5T,gp_rbf,0.1,0.3308492938342169,strictly decreasing
Chronos-2,Coastal_T_S_5T,gp_rbf,0.2,-10.824891118963132,strictly decreasing
Chronos-2,Coastal_T_S_5T,gp_rbf,0.3,-11.849191797486162,strictly decreasing
Chronos-2,Coastal_T_S_5T,kalman_arima,0.1,5.244531434112757,strictly decreasing
Chronos-2,Coastal_T_S_5T,kalman_arima,0.2,-8.084379061319238,strictly decreasing
Chronos-2,Coastal_T_S_5T,kalman_arima,0.3,-21.15612933373344,strictly decreasing
Chronos-2,Coastal_T_S_5T,kalman_struct,0.1,3.376319888141851,non-monotonic
Chronos-2,Coastal_T_S_5T,kalman_struct,0.2,7.632596658632984,non-monotonic
Chronos-2,Coastal_T_S_5T,kalman_struct,0.3,-5.154167423987618,non-monotonic
Chronos-2,Coastal_T_S_5T,linear,0.1,-0.4536518805855438,strictly increasing
Chronos-2,Coastal_T_S_5T,linear,0.2,9.126200154741465,strictly increasing
Chronos-2,Coastal_T_S_5T,linear,0.3,9.662963615657013,strictly increasing
Chronos-2,Coastal_T_S_5T,mean,0.1,3.811925270207017,strictly decreasing
Chronos-2,Coastal_T_S_5T,mean,0.2,-3.0014863700052694,strictly decreasing
Chronos-2,Coastal_T_S_5T,mean,0.3,-19.44337505815864,strictly decreasing
Chronos-2,Coastal_T_S_5T,saits,0.1,11.638956234062448,non-monotonic
Chronos-2,Coastal_T_S_5T,saits,0.2,11.674053434311375,non-monotonic
Chronos-2,Coastal_T_S_5T,saits,0.3,-3.5739952304752154,non-monotonic
Chronos-2,Coastal_T_S_H,backward,0.1,0.4604107328957186,strictly decreasing
Chronos-2,Coastal_T_S_H,backward,0.2,0.29632899078126235,strictly decreasing
Chronos-2,Coastal_T_S_H,backward,0.3,0.11740347366762591,strictly decreasing
Chronos-2,Coastal_T_S_H,forward,0.1,0.17698636240227053,strictly increasing
Chronos-2,Coastal_T_S_H,forward,0.2,0.31765198031084685,strictly increasing
Chronos-2,Coastal_T_S_H,forward,0.3,0.4987782496468273,strictly increasing
Chronos-2,Coastal_T_S_H,gp_rbf,0.1,1.8551708294375986,non-monotonic
Chronos-2,Coastal_T_S_H,gp_rbf,0.2,0.8413776436942718,non-monotonic
Chronos-2,Coastal_T_S_H,gp_rbf,0.3,2.447651871443379,non-monotonic
Chronos-2,Coastal_T_S_H,kalman_arima,0.1,0.6444611145658264,strictly increasing
Chronos-2,Coastal_T_S_H,kalman_arima,0.2,0.9008527375887434,strictly increasing
Chronos-2,Coastal_T_S_H,kalman_arima,0.3,40.216106421881406,strictly increasing
Chronos-2,Coastal_T_S_H,kalman_struct,0.1,0.3420838226736653,strictly increasing
Chronos-2,Coastal_T_S_H,kalman_struct,0.2,3.2279153368723086,strictly increasing
Chronos-2,Coastal_T_S_H,kalman_struct,0.3,6.838913856105385,strictly increasing
Chronos-2,Coastal_T_S_H,linear,0.1,0.04256132110491531,strictly increasing
Chronos-2,Coastal_T_S_H,linear,0.2,1.192380071039929,strictly increasing
Chronos-2,Coastal_T_S_H,linear,0.3,18.834432530290695,strictly increasing
Chronos-2,Coastal_T_S_H,mean,0.1,0.9089710364900383,non-monotonic
Chronos-2,Coastal_T_S_H,mean,0.2,-13.171285166882067,non-monotonic
Chronos-2,Coastal_T_S_H,mean,0.3,-6.3073546282176025,non-monotonic
Chronos-2,Coastal_T_S_H,saits,0.1,0.7914598566293016,non-monotonic
Chronos-2,Coastal_T_S_H,saits,0.2,0.1721384313003548,non-monotonic
Chronos-2,Coastal_T_S_H,saits,0.3,0.5318824351141969,non-monotonic
Chronos-2,ETTh1,backward,0.1,-2.1855490576783403,strictly increasing
Chronos-2,ETTh1,backward,0.2,4.352340561814696,strictly increasing
Chronos-2,ETTh1,backward,0.3,11.243903294122056,strictly increasing
Chronos-2,ETTh1,forward,0.1,-6.4597799042368536,non-monotonic
Chronos-2,ETTh1,forward,0.2,11.729646836218814,non-monotonic
Chronos-2,ETTh1,forward,0.3,8.673222904251185,non-monotonic
Chronos-2,ETTh1,gp_rbf,0.1,-5.638927017451428,non-monotonic
Chronos-2,ETTh1,gp_rbf,0.2,-1.5135547011952353,non-monotonic
Chronos-2,ETTh1,gp_rbf,0.3,-9.019251088668135,non-monotonic
Chronos-2,ETTh1,kalman_arima,0.1,1.3439240880737868,strictly increasing
Chronos-2,ETTh1,kalman_arima,0.2,6.872417786454567,strictly increasing
Chronos-2,ETTh1,kalman_arima,0.3,22.750088052977958,strictly increasing
Chronos-2,ETTh1,kalman_struct,0.1,-12.305962173945428,strictly increasing
Chronos-2,ETTh1,kalman_struct,0.2,1.8533000785657443,strictly increasing
Chronos-2,ETTh1,kalman_struct,0.3,10.365796590885708,strictly increasing
Chronos-2,ETTh1,linear,0.1,-7.245132480998196,strictly increasing
Chronos-2,ETTh1,linear,0.2,0.5236458629697185,strictly increasing
Chronos-2,ETTh1,linear,0.3,26.104732744815202,strictly increasing
Chronos-2,ETTh1,mean,0.1,13.443670542216404,strictly increasing
Chronos-2,ETTh1,mean,0.2,23.718992372997874,strictly increasing
Chronos-2,ETTh1,mean,0.3,111.67388456942543,strictly increasing
