基础模型,数据集,缺失率,填补方法,填补误差指标(MSE),填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,前项,,,,,,,,,,
,,,后向,,,,,,,,,,
,,,线性,,,,,,,,,,
chronos2,Australia_Solar_H,0,/,,86134487923,0.95258728,0.520076409,4.964115797,0.860912315,0.865765111,0.916753211,126395.8485,
,,0.1,均值,,91161249419,0.963641764,0.399152146,4.632027016,0.788598965,0.841698006,0.885431599,128564.8241,
,,,前项,,84511310916,0.954365777,0.442093606,2.764487393,0.739540835,0.838335672,0.91450518,128329.4348,
,,,后向,,78783252471,0.93874627,0.455293933,4.136178426,0.742065638,0.834079188,0.900631674,128467.1767,
,,,线性,,82013379188,0.949822049,0.425996557,3.260695037,0.742350085,0.829483816,0.914661736,128168.5012,
,,0.2,均值,,97756643328,0.999352824,0.260884151,4.50200193,0.704675288,0.78541774,0.889979253,129219.8079,
,,,前项,,88950991021,0.970903049,0.356505123,4.516515159,0.645939147,0.805729919,0.914876372,128906.2253,
,,,后向,,88361430330,0.976636556,0.392966927,5.418753004,0.656696386,0.814303595,0.914330371,128883.4786,
,,,线性,,96663626347,0.994080607,0.34854,5.925559577,0.64647897,0.788057546,0.918302096,128694.6113,
,,0.3,均值,,1.19E+11,1.047304348,0.164187105,2.276554811,0.609979286,0.719809236,0.87166464,130100.6462,
,,,前项,,89702815353,0.993391724,0.366385724,3.820033212,0.518379254,0.690738334,0.9118042,129731.8202,
,,,后向,,99448700127,1.008231947,0.37868934,0.384060473,0.507919587,0.71372298,0.91556517,129678.4354,
,,,线性,,1.02E+11,1.036191678,0.342180523,1.579782101,0.511881664,0.61560344,0.919879599,129380.5888,
chronos2,azure2019_U_5T,0,/,,1704.55625,1.200436401,0.106050206,0.016994057,0.221981896,0.634620574,0.324985935,8616.76028,
,,0.1,均值,,1957.094965,1.269797431,0.116018822,0.017072779,0.240236881,0.635066822,0.286393601,8565.185236,
,,,前项,,1636.601736,1.185589854,0.11945964,0.016987945,0.189625328,0.627522691,0.376969597,8582.596791,
,,,后向,,1368.902083,1.169794295,0.124684575,0.016736643,0.230695771,0.632001752,0.316090439,8573.559809,
,,,线性,,1557.290799,1.206171672,0.122018439,0.01683705,0.218852934,0.630190028,0.323612134,8565.132004,
,,0.2,均值,,1930.911806,1.261812083,0.10168901,0.015797907,0.194395173,0.658587828,0.385408888,8510.242191,
,,,前项,,1935.740799,1.224190945,0.243943889,0.029799548,0.191467642,0.612008836,0.408887325,8515.916732,
,,,后向,,1188.74184,1.026226552,0.095865061,0.018819751,0.197981266,0.646547687,0.455803633,8516.761637,
,,,线性,,1424.525521,1.168231286,0.157150525,0.022471073,0.182495389,0.637373443,0.416013777,8523.257378,
,,0.3,均值,,1535.187153,1.214260864,0.092227075,0.011612539,0.234645302,0.611484925,0.40189304,8423.245819,
,,,前项,,1587.806944,1.128095415,0.17317647,0.011789681,0.304287346,0.607478603,0.558776389,8475.91441,
,,,后向,,1374.530469,1.146700711,0.176250951,0.023481518,0.268169485,0.626142176,0.418752451,8457.734975,
,,,线性,,1767.602778,1.23231803,0.175267264,0.016999105,0.246635012,0.629922332,0.432292655,8453.323157,
chronos2,Coastal_T_S_15T,0,/,,0.005398069,0.001628812,0.342424869,-5.89E-07,0.119276597,0.058881504,0.098792083,10929.36262,
,,0.1,均值,,0.005289777,0.001625958,0.3335136,-6.76E-07,0.153406262,0.061032128,0.127089814,10431.01863,
,,,前项,,0.005856773,0.001668997,0.386170938,-5.12E-07,0.125710137,0.063792578,0.186723271,10516.21267,
,,,后向,,0.005374577,0.001612312,0.340116549,-6.03E-07,0.11033258,0.055407636,0.171285994,10503.29518,
,,,线性,,0.005272648,0.001599123,0.375574427,-4.77E-07,0.143710289,0.057880967,0.136383761,10464.36196,
,,0.2,均值,,0.005230828,0.001641475,0.336923011,-1.63E-07,0.155186465,0.049365916,0.148628734,10017.518,
,,,前项,,0.005358762,0.001609635,0.360099052,-2.72E-07,0.087113818,0.066401248,0.227701648,10121.15179,
,,,后向,,0.005532745,0.001640847,0.380823287,5.44E-08,0.088536948,0.060655662,0.271407588,10136.1033,
,,,线性,,0.005424389,0.001636135,0.376962833,-1.49E-07,0.11317566,0.061677716,0.217675836,10102.84553,
,,0.3,均值,,0.005167584,0.001638844,0.243928471,-4.11E-07,0.126462109,0.063363974,0.214269595,9646.608919,
,,,前项,,0.005329707,0.001629723,0.421110703,-8.07E-07,0.098762767,0.074042003,0.257476518,9743.446291,
,,,后向,,0.005425821,0.001606693,0.390499079,-2.25E-07,0.033555772,0.063851336,0.290433469,9743.116313,
,,,线性,,0.005235879,0.001604461,0.405476302,-6.18E-07,0.08309862,0.075222151,0.245483947,9701.574043,
chronos2,Coastal_T_S_20T,0,/,,0.208216228,0.020613937,0.999237758,0.0009608,0.566439363,0.478973543,0.915969847,8192.930816,
,,0.1,均值,,0.305470639,0.021940561,0.809806673,0.000943158,0.001586946,0.396459081,0.97535154,10606.18316,
,,,前项,,0.27000776,0.022993215,0.9991349,0.00096048,0.47223242,0.434063197,0.919609239,8188.888192,
,,,后向,,0.159880357,0.016287545,0.99899448,0.0009609,0.408038833,0.467805016,0.925380092,8215.623391,
,,,线性,,0.2405815,0.021991981,0.999170318,0.000960367,0.474924013,0.484288835,0.919737788,8195.871557,
,,0.2,均值,,0.463266476,0.025485902,0.710419316,0.000832302,0.00076924,0.312479364,0.948872865,12025.90775,
,,,前项,,0.225013273,0.021398252,0.99895153,0.000961869,0.369888704,0.283099835,0.928551278,8194.294842,
,,,后向,,0.252758111,0.023214793,0.999097421,0.000960632,0.434145794,0.375446455,0.915364148,8192.243818,
,,,线性,,0.240315852,0.022260501,0.999181179,0.000960989,0.474560078,0.40016613,0.925866713,8192.656229,
,,0.3,均值,,0.770858668,0.036025492,0.616177965,0.000729689,0.060443365,0.142120846,0.953354479,13041.23338,
,,,前项,,0.224609569,0.02185467,0.998773865,0.000958109,0.286368478,0.256846374,0.943795974,8216.58472,
,,,后向,,0.283984641,0.023564115,0.998750655,0.000963047,0.311793766,0.373372062,0.936192028,8190.213765,
,,,线性,,0.243310934,0.021122027,0.999153455,0.00095998,0.402869198,0.338559231,0.940995943,8191.973426,
chronos2,Coastal_T_S_5T,0,/,,739.2170833,0.222989638,0.584293051,0.000868379,0.420336462,0.205394517,0.619900008,29211.2784,
,,0.1,均值,,767.3954861,0.249432949,0.045578071,0.000830515,0.02245594,0.165414373,0.829853594,44130.13585,
,,,前项,,817.3415972,0.214693264,0.53792118,0.000809322,0.387433393,0.218203754,0.66803996,29031.75494,
