基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,saits,0.014512839,0.005664554,0.001701923,0.337196953,-9.31E-07,0.141575969,0.150037224,0.108962773,2048.574924
,,0.2,均值,0.029736004,0.005564743,0.001691194,0.312517861,-8.32E-07,0.139854146,0.143677995,0.155160724,1919.961009
,,,前项,0.031367271,0.005813692,0.001701144,0.339719737,-5.80E-07,0.11631614,0.162704577,0.235691639,1958.649387
,,,后向,0.030479729,0.005864637,0.001703417,0.344253702,-2.41E-07,0.093573735,0.153370339,0.256040659,1961.605337
,,,线性,0.028029394,0.005817396,0.001706417,0.337007163,-4.99E-07,0.115401033,0.155707844,0.219698665,1949.892854
,,,kalman_struct,0.036481313,0.006135697,0.001739739,0.333046748,-7.78E-07,0.111054393,0.147477099,0.338645979,1973.712528
,,,kalman_arima,0.028435809,0.005579414,0.001693639,0.322902255,-8.84E-07,0.141176528,0.145768828,0.152127293,1910.589045
,,,gp_rbf,0.027220745,0.005638079,0.0016758,0.337488859,-1.01E-06,0.133199415,0.142846582,0.158786285,1905.040612
,,,saits,0.027363601,0.005574751,0.001677348,0.350781103,-1.14E-06,0.144628403,0.147392864,0.128538184,1897.613261
,,0.3,均值,0.046376189,0.005350216,0.001658612,0.232069913,-2.67E-07,0.138625284,0.155011636,0.206580385,1805.719273
,,,前项,0.041077616,0.005426595,0.001657954,0.394914561,-8.10E-07,0.099743139,0.16921481,0.248166225,1831.853373
,,,后向,0.044203514,0.005488296,0.001660708,0.373866054,-4.78E-07,0.081309308,0.155950742,0.278771835,1836.908731
,,,线性,0.03873807,0.005650759,0.001694978,0.380055794,-7.04E-07,0.102767307,0.171390941,0.226980985,1822.744257
,,,kalman_struct,0.056601634,0.005711194,0.001707593,0.337779074,-1.87E-06,0.084602915,0.164833003,0.444607767,1864.529323
,,,kalman_arima,0.042096413,0.005510758,0.001688775,0.28142003,-7.15E-08,0.148815498,0.155205538,0.176514688,1782.428456
,,,gp_rbf,0.039243061,0.005402847,0.001649443,0.370368085,-3.97E-07,0.135462619,0.151727395,0.149151782,1758.791933
,,,saits,0.038849125,0.005574718,0.001672972,0.381745879,-6.60E-07,0.13463598,0.169915017,0.14068611,1758.011594
sundial,Coastal_T_S_20T,0,/,/,0.799217733,0.04197447,0.996348815,0.000916375,0.614640492,0.538273457,0.91641868,2637.73509
,,0.1,均值,0.549662229,0.996098982,0.048555647,0.726008497,0.000908183,0.011494581,0.355023706,0.952875357,4188.382096
,,,前项,0.054207428,1.117664156,0.048706863,0.994996791,0.000917792,0.509022111,0.451065198,0.922722339,2653.268046
,,,后向,0.057408062,1.080386498,0.048414336,0.991496808,0.00091458,0.397300673,0.499236015,0.931722998,2622.082262
,,,线性,0.033735211,0.809720914,0.042040053,0.995346283,0.000916285,0.512009522,0.519401967,0.928275097,2634.794901
,,,kalman_struct,0.042611347,0.743132479,0.041014552,0.994981185,0.000915973,0.517878902,0.527132073,0.933214593,2628.048903
,,,kalman_arima,0.551464671,1.211996024,0.053914295,0.744351956,0.000906492,0.0227904,0.339294593,0.970872482,3287.391368
,,,gp_rbf,0.036658586,0.852813236,0.043420577,0.995702382,0.000916398,0.510967905,0.47704876,0.915972765,2641.196545
,,,saits,0.225761002,1.385166713,0.055907566,0.973843557,0.000914018,0.195473579,0.363310511,0.934118442,2869.863291
,,0.2,均值,1.240383766,1.13021434,0.052501127,0.609415576,0.000832927,0.028789148,0.316061129,0.955345415,4713.927126
,,,前项,0.08789682,1.110519748,0.050015552,0.993226841,0.000919066,0.388043499,0.36329757,0.937073617,2639.400729
,,,后向,0.074206575,0.892978632,0.044560647,0.995362107,0.00091637,0.481092789,0.384971354,0.906376012,2644.272666
,,,线性,0.05357211,1.062503294,0.048384234,0.995965704,0.000917901,0.515518172,0.42081635,0.926180638,2635.944583
,,,kalman_struct,0.082684603,0.904893469,0.045776425,0.993222173,0.000918563,0.419266957,0.449832925,0.952918213,2637.304256
,,,kalman_arima,1.254187849,1.740157258,0.064540247,0.613075308,0.000834387,0.02970488,0.321350873,0.960717961,3777.580859
,,,gp_rbf,0.060724361,0.92829493,0.044987362,0.995374638,0.000917052,0.46380912,0.410999067,0.914526034,2638.89508
,,,saits,0.130508828,0.774296933,0.042035389,0.989197079,0.000918189,0.302470758,0.328825326,0.893571593,2681.477505
,,0.3,均值,1.780609914,1.184164671,0.053218448,0.575548632,0.000727159,0.084981314,0.205215582,0.951377503,5196.893109
,,,前项,0.124617569,1.326031882,0.052252167,0.993009943,0.000918631,0.327139755,0.335158954,0.947003345,2674.856107
,,,后向,0.107601334,1.620038326,0.058800355,0.994272685,0.000917435,0.352242274,0.415949297,0.934396001,2645.165336
,,,线性,0.086213531,1.297017028,0.052796258,0.995562083,0.000917313,0.45992268,0.373003533,0.93681429,2636.220027
,,,kalman_struct,0.108522649,0.954169186,0.046149931,0.992340237,0.000916774,0.342337564,0.393524244,0.961424889,2637.2455
,,,kalman_arima,1.893395922,1.001344711,0.048297088,0.572530618,0.000736153,0.085807562,0.216195533,0.963965377,4132.678914
,,,gp_rbf,0.090345739,1.272504534,0.051416148,0.996113626,0.000916669,0.466359655,0.373851886,0.924843987,2654.767134
,,,saits,0.181959248,0.741496931,0.041546496,0.991719636,0.000907529,0.311050298,0.268250389,0.900900764,2686.363253
sundial,Coastal_T_S_5T,0,/,/,560.3958681,0.22880383,0.497742555,0.002057373,0.469689491,0.307394486,0.589579442,8868.246282
,,0.1,均值,9.604876018,562.6612153,0.26076889,0.035366927,0.002339297,0.037789903,0.350785339,0.810689017,14376.32266
,,,前项,1.233228259,590.9934722,0.230710771,0.475389572,0.001931777,0.431414033,0.314878506,0.652114304,8799.745522
,,,后向,1.106545605,565.8311111,0.227758569,0.499963639,0.002462052,0.445267304,0.318280567,0.629889087,8788.943757
,,,线性,1.230731416,561.0216319,0.22715115,0.505547805,0.002522932,0.453188973,0.31751585,0.60629875,8742.938881
,,,kalman_struct,1.566437774,560.3957292,0.228117701,0.502777314,0.002538839,0.458053086,0.31511017,0.607506675,8743.990995
,,,kalman_arima,8.996353292,568.7695833,0.253224962,0.037784323,0.002305236,0.036661166,0.372354059,0.81873637,12673.6673
,,,gp_rbf,1.713302296,560.29625,0.230135705,0.423656402,0.002059976,0.357316136,0.302735645,0.703769704,8957.984443
,,,saits,1.348854732,573.811875,0.231251651,0.477167478,0.002057205,0.425041775,0.309784032,0.640239831,8839.683869
,,0.2,均值,20.891077185,576.1952083,0.368478055,0.073623317,0.002407836,0.072559882,0.371937216,0.801655612,15180.20497
,,,前项,2.215816721,577.5651042,0.228857591,0.471780438,0.001796663,0.390171212,0.338218863,0.682349205,8757.210806
,,,后向,2.26209615,571.6521528,0.228223928,0.515499705,0.002426369,0.473679165,0.348846378,0.649717997,8753.396783
,,,线性,2.093072906,581.6032292,0.22845303,0.512580323,0.00232804,0.443370559,0.333988136,0.628859804,8567.422813
,,,kalman_struct,3.236192494,567.0436111,0.228221293,0.490222473,0.002364531,0.431133249,0.320325788,0.692690882,8576.954133
,,,kalman_arima,19.335264182,570.7133681,0.306498109,0.052478305,0.002072964,0.034957827,0.361266515,0.808226558,13297.27971
,,,gp_rbf,2.911470588,559.8386458,0.22722704,0.340013302,0.002457504,0.291041073,0.320897747,0.675774841,9002.594394
,,,saits,3.021636318,578.2523264,0.233031192,0.337034729,0.001831178,0.267874293,0.343188595,0.696326778,9159.374594
,,0.3,均值,30.575696707,595.5952083,0.449761556,0.068129587,0.002251271,0.114916513,0.460062631,0.810165949,15570.92131
,,,前项,4.714675225,599.4152778,0.229409926,0.471916795,0.001451133,0.39839634,0.367338198,0.70530297,8637.659253
,,,后向,4.706945331,555.6691319,0.226307119,0.508567635,0.002557608,0.399792619,0.349727872,0.723021298,8669.278402
,,,线性,4.728216835,567.0386806,0.228404914,0.515208792,0.002326385,0.440863383,0.348104961,0.672875969,8467.595563
,,,kalman_struct,7.744651239,594.1925694,0.228225088,0.491155237,0.002083959,0.447082521,0.328000734,0.724728734,8477.614661
,,,kalman_arima,28.282245207,585.6370139,0.363025335,0.052700095,0.002162481,0.072423794,0.447072646,0.803524326,13695.1434
,,,gp_rbf,7.451654235,549.4882292,0.228972082,0.352731185,0.002155397,0.261430117,0.361750865,0.727145079,9297.12224
,,,saits,5.959862697,603.6970139,0.230414337,0.320187045,0.001473919,0.245064291,0.397613885,0.713601395,9158.404517
sundial,Coastal_T_S_H,0,/,/,1428.203299,0.445562744,0.444196093,-0.001701469,0.159729263,0.04354439,0.025201183,17393.09274
,,0.1,均值,6.199669465,1293.918576,0.460096826,0.436342789,-0.001095044,0.14704405,0.042851917,0.112821193,17381.63014
,,,前项,0.724893979,1297.532118,0.42940055,0.493891689,-0.001666603,0.144452223,0.037440289,0.083323811,17321.86471
,,,后向,0.632467507,1241.965799,0.419710371,0.50690574,-0.001280923,0.145831907,0.04291884,0.106534741,17330.78944
,,,线性,0.656831312,1296.848785,0.425386641,0.473016929,-0.001524324,0.148667316,0.042437006,0.092359683,17308.04423
,,,kalman_struct,0.812665626,1283.378125,0.429164822,0.520698296,-0.001598907,0.153463728,0.040404674,0.075614868,17335.89809
