基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,,预测窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,saits,0.038849125,0.005574718,0.001672972,0.381745879,-6.60E-07,0.13463598,0.169915017,0.14068611,1758.011594,0.848248947,-1.75E-05,0.270700256,0.595066975,0.335222831,-2177.992982
sundial,Coastal_T_S_20T,0,/,/,0.799217733,0.04197447,0.996348815,0.000916375,0.614640492,0.538273457,0.91641868,2637.73509,0.994565968,-0.000757649,0.213021903,0.414240502,0.79755964,-651.8925075
,,0.1,均值,0.549662229,0.996098982,0.048555647,0.726008497,0.000908183,0.011494581,0.355023706,0.952875357,4188.382096,0.991475991,-0.000766627,0.11226204,0.415596342,0.919010151,-453.8501059
,,,前项,0.054207428,1.117664156,0.048706863,0.994996791,0.000917792,0.509022111,0.451065198,0.922722339,2653.268046,0.99794689,-0.001003061,0.189889879,0.485943451,0.854039379,-400.6981829
,,,后向,0.057408062,1.080386498,0.048414336,0.991496808,0.00091458,0.397300673,0.499236015,0.931722998,2622.082262,0.996307417,-0.000960652,0.166552867,0.494011042,0.850490157,-451.5880432
,,,线性,0.033735211,0.809720914,0.042040053,0.995346283,0.000916285,0.512009522,0.519401967,0.928275097,2634.794901,0.946301177,-0.000720728,0.137104533,0.441743717,0.799053783,-655.8853037
,,,kalman_struct,0.042611347,0.743132479,0.041014552,0.994981185,0.000915973,0.517878902,0.527132073,0.933214593,2628.048903,0.994505105,-0.000713956,0.188706564,0.416592367,0.80547564,-652.5025832
,,,kalman_arima,0.551464671,1.211996024,0.053914295,0.744351956,0.000906492,0.0227904,0.339294593,0.970872482,3287.391368,0.977563721,-0.000639506,0.088472361,0.517088271,0.93139053,-560.2976013
,,,gp_rbf,0.036658586,0.852813236,0.043420577,0.995702382,0.000916398,0.510967905,0.47704876,0.915972765,2641.196545,0.996405698,-0.000831648,0.135621845,0.419740872,0.835439201,-551.5219543
,,,saits,0.225761002,1.385166713,0.055907566,0.973843557,0.000914018,0.195473579,0.363310511,0.934118442,2869.863291,0.996584172,-0.000949223,0.151246387,0.510141383,0.831859354,-487.2740855
,,0.2,均值,1.240383766,1.13021434,0.052501127,0.609415576,0.000832927,0.028789148,0.316061129,0.955345415,4713.927126,0.882748575,-0.000857521,0.078922541,0.507028679,0.940251325,-231.4355452
,,,前项,0.08789682,1.110519748,0.050015552,0.993226841,0.000919066,0.388043499,0.36329757,0.937073617,2639.400729,0.996837593,-0.000913224,0.134892516,0.428808931,0.849900899,-369.6278271
,,,后向,0.074206575,0.892978632,0.044560647,0.995362107,0.00091637,0.481092789,0.384971354,0.906376012,2644.272666,0.997808864,-0.000931443,0.149722678,0.452027626,0.865744326,-396.0017244
,,,线性,0.05357211,1.062503294,0.048384234,0.995965704,0.000917901,0.515518172,0.42081635,0.926180638,2635.944583,0.995045844,-0.000896702,0.186541425,0.501123779,0.824839447,-521.524813
,,,kalman_struct,0.082684603,0.904893469,0.045776425,0.993222173,0.000918563,0.419266957,0.449832925,0.952918213,2637.304256,0.993731032,-0.000744558,0.208107725,0.460855059,0.813436143,-514.0968961
,,,kalman_arima,1.254187849,1.740157258,0.064540247,0.613075308,0.000834387,0.02970488,0.321350873,0.960717961,3777.580859,0.917806844,-0.000543201,0.041742845,0.390487142,0.937966598,-279.4576722
,,,gp_rbf,0.060724361,0.92829493,0.044987362,0.995374638,0.000917052,0.46380912,0.410999067,0.914526034,2638.89508,0.994532044,-0.00075093,0.129917618,0.412950254,0.824873771,-565.9450319
,,,saits,0.130508828,0.774296933,0.042035389,0.989197079,0.000918189,0.302470758,0.328825326,0.893571593,2681.477505,0.96428907,-0.000650932,0.121309348,0.562178774,0.8094169,-806.8343059
,,0.3,均值,1.780609914,1.184164671,0.053218448,0.575548632,0.000727159,0.084981314,0.205215582,0.951377503,5196.893109,0.784048833,-0.000627967,0.075795585,0.34164828,0.923107845,-267.2560983
,,,前项,0.124617569,1.326031882,0.052252167,0.993009943,0.000918631,0.327139755,0.335158954,0.947003345,2674.856107,0.993977853,-0.00106086,0.097855451,0.409211141,0.904207934,-497.2355751
,,,后向,0.107601334,1.620038326,0.058800355,0.994272685,0.000917435,0.352242274,0.415949297,0.934396001,2645.165336,0.99632204,-0.001140324,0.041227178,0.377439118,0.896863237,-316.5195339
,,,线性,0.086213531,1.297017028,0.052796258,0.995562083,0.000917313,0.45992268,0.373003533,0.93681429,2636.220027,0.997907915,-0.000971069,0.152250714,0.421176555,0.829901759,-397.1860916
,,,kalman_struct,0.108522649,0.954169186,0.046149931,0.992340237,0.000916774,0.342337564,0.393524244,0.961424889,2637.2455,0.987805292,-0.000835298,0.119004567,0.425500483,0.825883729,-603.2111359
,,,kalman_arima,1.893395922,1.001344711,0.048297088,0.572530618,0.000736153,0.085807562,0.216195533,0.963965377,4132.678914,0.739760127,-0.000389153,0.023863994,0.28168121,0.929146518,-293.5191305
,,,gp_rbf,0.090345739,1.272504534,0.051416148,0.996113626,0.000916669,0.466359655,0.373851886,0.924843987,2654.767134,0.996585411,-0.001020377,0.122778225,0.416619486,0.844856295,-453.4462185
,,,saits,0.181959248,0.741496931,0.041546496,0.991719636,0.000907529,0.311050298,0.268250389,0.900900764,2686.363253,0.986785872,-0.000612294,0.152421678,0.579846085,0.814337176,-832.9371731
sundial,Coastal_T_S_5T,0,/,/,560.3958681,0.22880383,0.497742555,0.002057373,0.469689491,0.307394486,0.589579442,8868.246282,0.663426042,-0.001357721,0.928718297,0.757369829,0.759581799,265.4039317
,,0.1,均值,9.604876018,562.6612153,0.26076889,0.035366927,0.002339297,0.037789903,0.350785339,0.810689017,14376.32266,0.320595319,-0.002101044,0.716554413,0.402160929,0.723387742,1521.814242
,,,前项,1.233228259,590.9934722,0.230710771,0.475389572,0.001931777,0.431414033,0.314878506,0.652114304,8799.745522,0.6218702,-5.89E-05,0.899969392,0.821493429,0.784019519,226.458065
