model,dataset,metric,n,pearson,spearman,pearson_abs,spearman_abs,pearson_strength,spearman_strength
visiontspp,traffic,seasonal_correlation,180,-0.033567523863607424,-0.021214646542588762,0.033567523863607424,0.021214646542588762,none,none
visiontspp,weather,seasonal_correlation,240,-0.017152534687162657,-0.011492387020607994,0.017152534687162657,0.011492387020607994,none,none
visiontspp,Australia_Solar_H,seasonal_strength,240,-0.02687685157651761,-0.08948442928715503,0.02687685157651761,0.08948442928715503,none,none
visiontspp,Coastal_T_S_15T,seasonal_strength,240,-0.07355286353461506,0.0003583135939622869,0.07355286353461506,0.0003583135939622869,none,none
visiontspp,Coastal_T_S_20T,seasonal_strength,84,-0.3305669453369581,-0.085844521660305,0.3305669453369581,0.085844521660305,weak,none
visiontspp,Coastal_T_S_5T,seasonal_strength,240,-0.07982041532261762,-0.01804802503415314,0.07982041532261762,0.01804802503415314,none,none
visiontspp,Coastal_T_S_H,seasonal_strength,96,0.07560315716584055,0.04403099049012056,0.07560315716584055,0.04403099049012056,none,none
visiontspp,ETTh1,seasonal_strength,180,-0.020043240917070528,-0.061050049552411285,0.020043240917070528,0.061050049552411285,none,none
visiontspp,ETTh2,seasonal_strength,180,0.01088544536591025,0.01562616262885587,0.01088544536591025,0.01562616262885587,none,none
visiontspp,EWELD_Load_15T,seasonal_strength,216,0.10590833362657116,0.023975643903728156,0.10590833362657116,0.023975643903728156,none,none
visiontspp,Finland_Traffic_15T,seasonal_strength,240,0.1363793547266466,0.1299076261344736,0.1363793547266466,0.1299076261344736,none,none
visiontspp,NE_China_Wind_H,seasonal_strength,96,-0.21506206275314324,0.1268538652380193,0.21506206275314324,0.1268538652380193,weak,none
visiontspp,OpenElectricity_NEM_5T,seasonal_strength,240,0.3143168542464334,0.36104272643622276,0.3143168542464334,0.36104272643622276,weak,weak
visiontspp,Port_Activity_D,seasonal_strength,36,-0.33419265905946355,-0.26507731958762887,0.33419265905946355,0.26507731958762887,weak,weak
visiontspp,Supply_Chain_Customer_D,seasonal_strength,36,-0.1112856741385198,-0.17940797940797942,0.1112856741385198,0.17940797940797942,none,none
visiontspp,Supply_Chain_Location_D,seasonal_strength,36,0.25527705892647384,-0.09369369369369371,0.25527705892647384,0.09369369369369371,weak,none
visiontspp,Water_Quality_Darwin_15T,seasonal_strength,192,-0.032135408121292834,-0.015122462513292878,0.032135408121292834,0.015122462513292878,none,none
visiontspp,current_velocity_15T,seasonal_strength,180,0.010711344914974535,-0.16768262963582542,0.010711344914974535,0.16768262963582542,none,none
visiontspp,current_velocity_20T,seasonal_strength,168,0.03900333950745789,0.07606785953834254,0.03900333950745789,0.07606785953834254,none,none
visiontspp,current_velocity_5T,seasonal_strength,240,0.002847533553124165,0.02766107050469626,0.002847533553124165,0.02766107050469626,none,none
visiontspp,current_velocity_H,seasonal_strength,60,-0.1506929374138543,-0.03381181919637407,0.1506929374138543,0.03381181919637407,none,none
visiontspp,electricity,seasonal_strength,240,0.06887796564749823,0.011026646853666914,0.06887796564749823,0.011026646853666914,none,none
visiontspp,exchange_rate,seasonal_strength,132,0.0264044716822868,0.004655327909334809,0.0264044716822868,0.004655327909334809,none,none
visiontspp,traffic,seasonal_strength,180,0.09196069064297002,0.1270855119640779,0.09196069064297002,0.1270855119640779,none,none
visiontspp,weather,seasonal_strength,240,0.025946597004475765,-0.012490087559464534,0.025946597004475765,0.012490087559464534,none,none
visiontspp,Australia_Solar_H,spectral_entropy,240,-0.21626595997111128,-0.2658327401517387,0.21626595997111128,0.2658327401517387,weak,weak
visiontspp,Coastal_T_S_15T,spectral_entropy,240,-0.04433054315439454,0.013828365075782563,0.04433054315439454,0.013828365075782563,none,none
visiontspp,Coastal_T_S_20T,spectral_entropy,84,-0.17047850189783853,-0.09616280247038576,0.17047850189783853,0.09616280247038576,none,none
visiontspp,Coastal_T_S_5T,spectral_entropy,240,0.35726244237114535,0.08933228007430684,0.35726244237114535,0.08933228007430684,weak,none
visiontspp,Coastal_T_S_H,spectral_entropy,96,-0.15404703656882718,-0.187194791101465,0.15404703656882718,0.187194791101465,none,none
visiontspp,ETTh1,spectral_entropy,180,-0.25480547420703076,-0.11033468111155693,0.25480547420703076,0.11033468111155693,weak,none
visiontspp,ETTh2,spectral_entropy,180,-0.1984733283262061,-0.20056997643960203,0.1984733283262061,0.20056997643960203,none,weak
visiontspp,EWELD_Load_15T,spectral_entropy,216,-0.07635911805446897,-0.11026447087962465,0.07635911805446897,0.11026447087962465,none,none
visiontspp,Finland_Traffic_15T,spectral_entropy,240,0.007630613078424494,-0.02069827601173631,0.007630613078424494,0.02069827601173631,none,none
visiontspp,NE_China_Wind_H,spectral_entropy,96,-0.21205447370351302,-0.2267905588714053,0.21205447370351302,0.2267905588714053,weak,weak
visiontspp,OpenElectricity_NEM_5T,spectral_entropy,240,-0.06986397930474388,-0.045566763311863046,0.06986397930474388,0.045566763311863046,none,none
visiontspp,Port_Activity_D,spectral_entropy,36,-0.16980586410706786,0.042010309278350505,0.16980586410706786,0.042010309278350505,none,none
visiontspp,Supply_Chain_Customer_D,spectral_entropy,36,-0.1339263706396521,-0.2954954954954955,0.1339263706396521,0.2954954954954955,none,weak
